GameID,Minute,PlayerIn,PlayerOut,Team
8407657,66,Louis Schaub,Thomas Murg,Rapid Wien
8407657,74,Alex Sobczyk,Steffen Hofmann,Rapid Wien
8407657,82,Boli Bolingoli-Mbombo,Eren Keles,Rapid Wien
8407657,46,Smail Prevljak,Julius Ertlthaler,SV Mattersburg
8407657,51,Markus Pink,Michael Novak,SV Mattersburg
8407657,74,Patrick Bürger,César Ortiz,SV Mattersburg
8407659,53,Bernd Gschweidl,Mihret Topčagić,Wolfsberger AC
8407659,70,Florian Flecker,Mario Leitgeb,Wolfsberger AC
8407659,82,Dominik Frieser,Thomas Zündel,Wolfsberger AC
8407659,62,Hee-chan Hwang,Hannes Wolf,RB Salzburg
8407659,75,Stefan Lainer,Patrick Farkas,RB Salzburg
8407659,85,Marin Pongračić,Reinhold Yabo,RB Salzburg
8407661,60,Alexander Riemann,René Gartler,LASK
8407661,72,Thomas Goiginger,Bruno Souza,LASK
8407661,84,James Holland,Doğan Erdoğan,LASK
8407661,46,Dominik Starkl,Srđan Spiridonović,FC Admira Wacker
8407661,63,Marin Jakoliš,Maximilian Sax,FC Admira Wacker
8407661,82,Patrick Schmidt,Daniel Toth,FC Admira Wacker
8407665,63,Adrian Grbic,Hannes Aigner,SCR Altach
8407665,69,Patrick Salomon,Stefan Nutz,SCR Altach
8407665,75,Valentino Müller,Nicolas Ngamaleu,SCR Altach
8407665,46,Kevin Friesenbichler,Dominik Prokop,Austria Wien
8407665,64,De Paula,Ismael Tajouri,Austria Wien
8407669,60,Philipp Huspek,Thorsten Röcher,Sturm Graz
8407669,70,Fabian Schubert,Philipp Zulechner,Sturm Graz
8407669,84,Romano Schmid,Deni Alar,Sturm Graz
8407669,60,Michael Ambichl,Lonsana Doumbouya,SKN St. Pölten
8407669,67,Lorenz Grabovac,Daniel Luxbacher,SKN St. Pölten
8407669,78,Devante Parker,Daniel Schütz,SKN St. Pölten
8407677,68,Munas Dabbur,Fredrik Gulbrandsen,RB Salzburg
8407677,73,Takumi Minamino,Hee-chan Hwang,RB Salzburg
8407677,83,Christoph Leitgeb,Hannes Wolf,RB Salzburg
8407677,46,René Gartler,Bruno Souza,LASK
8407677,54,Doğan Erdoğan,Thomas Goiginger,LASK
8407677,75,Dominik Reiter,Alexander Riemann,LASK
8407681,46,Martin Rasner,Sandro Ingolitsch,SKN St. Pölten
8407681,46,Damir Mehmedovic,Manuel Martic,SKN St. Pölten
8407681,87,Lorenz Grabovac,Lukas Thürauer,SKN St. Pölten
8407681,68,Eren Keles,Philipp Prosenik,Rapid Wien
8407681,75,Boli Bolingoli-Mbombo,Andreas Kuen,Rapid Wien
8407681,84,Manuel Thurnwald,Thomas Murg,Rapid Wien
8407687,64,Markus Pink,Michael Novak,SV Mattersburg
8407687,72,Smail Prevljak,Julius Ertlthaler,SV Mattersburg
8407687,86,Florian Sittsam,Andreas Gruber,SV Mattersburg
8407687,46,Mario Leitgeb,Christopher Wernitznig,Wolfsberger AC
8407687,60,Mihret Topčagić,Daniel Offenbacher,Wolfsberger AC
8407687,81,Dominik Frieser,Bernd Gschweidl,Wolfsberger AC
8407693,63,Dominik Prokop,Tarkan Serbest,Austria Wien
8407693,80,Romano Schmid,Thorsten Röcher,Sturm Graz
8407693,90,Fabian Schubert,Deni Alar,Sturm Graz
8407683,68,Sasa Kalajdzic,Lukas Grozurek,FC Admira Wacker
8407683,73,Marin Jakoliš,Maximilian Sax,FC Admira Wacker
8407683,84,Marcel Holzmann,Dominik Starkl,FC Admira Wacker
8407683,46,Simon Piesinger,Valentino Müller,SCR Altach
8407683,69,Stefan Nutz,Kristijan Dobras,SCR Altach
8407683,74,Hannes Aigner,Galvão,SCR Altach
8407697,59,Alexander Riemann,Bruno Souza,LASK
8407697,77,Marko Raguž,René Gartler,LASK
8407697,83,Emanuel Pogatetz,Peter Michorl,LASK
8407697,66,Lonsana Doumbouya,Devante Parker,SKN St. Pölten
8407697,78,Adi Mehremić,Damir Mehmedovic,SKN St. Pölten
8407697,83,Lorenz Grabovac,Martin Rasner,SKN St. Pölten
8407699,67,Christoph Leitgeb,Valon Berisha,RB Salzburg
8407699,74,Hee-chan Hwang,Hannes Wolf,RB Salzburg
8407699,80,Patrick Farkas,Stefan Lainer,RB Salzburg
8407699,70,Patrick Schmidt,Dominik Starkl,FC Admira Wacker
8407699,74,Lukas Grozurek,Christoph Knasmüllner,FC Admira Wacker
8407703,65,Dominik Frieser,Mihret Topčagić,Wolfsberger AC
8407703,76,Dever Orgill,Bernd Gschweidl,Wolfsberger AC
8407703,76,Christopher Wernitznig,Christoph Rabitsch,Wolfsberger AC
8407703,68,Adrian Grbic,Christian Gebauer,SCR Altach
8407703,76,Bernhard Janeczek,Jan Zwischenbrugger,SCR Altach
8407711,71,Eren Keles,Thomas Murg,Rapid Wien
8407711,84,Manuel Thurnwald,Louis Schaub,Rapid Wien
8407711,58,Dominik Prokop,Tarkan Serbest,Austria Wien
8407711,79,De Paula,Alexander Grünwald,Austria Wien
8407701,62,Smail Prevljak,Julius Ertlthaler,SV Mattersburg
8407701,69,Masaya Okugawa,Markus Pink,SV Mattersburg
8407701,75,Patrick Bürger,Andreas Gruber,SV Mattersburg
8407701,76,Marvin Potzmann,Philipp Huspek,Sturm Graz
8407701,81,Deni Alar,Philipp Zulechner,Sturm Graz
8407701,89,James Jeggo,Peter Žulj,Sturm Graz
8407721,84,Emanuel Schreiner,Stefan Nutz,SCR Altach
