GameID,Minute,PlayerIn,PlayerOut,Team
2313768,46,Doualla,Pablo Ganet,Äquatorialguinea
2313768,60,Rubén Belima,Kike Seno,Äquatorialguinea
2313768,90,Ivan Bolado,Ibán Salvador,Äquatorialguinea
2313768,60,Fabrice NGuessi,Césaire Gandzé,Kongo
2313768,65,Ladislas Douniama,Férébory Doré,Kongo
2313768,78,Dominique Malonga,Arnold Bouka Moutou,Kongo
2313769,66,Aristide Bancé,Jonathan Zongo,Burkina Faso
2313769,77,Préjuce Nakoulma,Djakaridja Koné,Burkina Faso
2313769,63,Guélor Kanga,Didier Ndong,Gabun
2313769,83,Samson Mbingui,Levy Madinda,Gabun
2313769,87,Johan Lengoualama,Malick Evouna,Gabun
2313773,71,Juvenal,Ibán Salvador,Äquatorialguinea
2313773,80,Ivan Bolado,Kike Seno,Äquatorialguinea
2313773,83,Raúl Fabiani,Balboa,Äquatorialguinea
2313773,80,Préjuce Nakoulma,Jonathan Pitroipa,Burkina Faso
2313772,55,Guélor Kanga,Didier Ndong,Gabun
2313772,84,Samson Mbingui,Levy Madinda,Gabun
2313772,88,Johan Lengoualama,Frédéric Bulot,Gabun
2313772,74,Fabrice NGuessi,Césaire Gandzé,Kongo
2313772,75,Chris Malonga,Férébory Doré,Kongo
2313772,86,Francis NGanga,Arnold Bouka Moutou,Kongo
2313770,69,Didier Ndong,André Biyogo Poko,Gabun
2313770,76,Romaric Rogombé,Guélor Kanga,Gabun
2313770,82,Johan Lengoualama,Johann Obiang,Gabun
2313770,67,Ibán Salvador,Kike Seno,Äquatorialguinea
2313770,75,Juvenal,Raúl Fabiani,Äquatorialguinea
2313770,88,Rubén Darío,Emilio NSue,Äquatorialguinea
2313771,63,Ladislas Douniama,Thievy Bifouma,Kongo
2313771,75,Fabrice NGuessi,Férébory Doré,Kongo
2313771,90,Césaire Gandzé,Francis Litsingi,Kongo
2313771,58,Bertrand Traoré,Préjuce Nakoulma,Burkina Faso
2313771,59,Aristide Bancé,Issa Gouo,Burkina Faso
2313771,73,Issiaka Ouédraogo,Abdou Traoré,Burkina Faso
2313774,67,Evans Kangwa,Emmanuel Mayuka,Sambia
2313774,74,Mukuka Mulenga,Ronald Kampamba,Sambia
2313774,86,Christopher Munthali,Nathan Sinkala,Sambia
2313774,63,Cedrick Mabwati,Ndombe Mubele,DR Kongo
2313774,64,Junior Kabananga,Hervé Kage,DR Kongo
2313775,82,Youssef Msakni,Wahbi Khazri,Tunesien
2313775,83,Adam Rejaibi,Ahmed Akaïchi,Tunesien
2313775,87,Houcine Ragued,Jamel Saihi,Tunesien
2313775,69,Júlio Tavares,Djaniny,Kapverdische Inseln
2313775,74,Ryan Mendes,Carlitos,Kapverdische Inseln
2313775,84,Odaïr Fortes,Kuca,Kapverdische Inseln
2313779,70,Jackson Mwanza,Emmanuel Mayuka,Sambia
2313779,88,Mukuka Mulenga,Evans Kangwa,Sambia
2313779,66,Mohamed Ali Moncer,Wahbi Khazri,Tunesien
2313779,76,Ferjani Sassi,Jamel Saihi,Tunesien
2313779,80,Hamza Younès,Ahmed Akaïchi,Tunesien
2313778,59,Héldon,Kuca,Kapverdische Inseln
2313778,71,Odaïr Fortes,Ryan Mendes,Kapverdische Inseln
2313778,79,Platini,Júlio Tavares,Kapverdische Inseln
2313778,23,Nelson Munganga,Youssuf Mulumbu,DR Kongo
2313778,63,Jeremy Bokila,Yannick Bolasie,DR Kongo
2313778,86,Ndombe Mubele,Lema Mabidi,DR Kongo
2313776,57,Djaniny,Ryan Mendes,Kapverdische Inseln
2313776,74,Odaïr Fortes,Toni Varela,Kapverdische Inseln
2313776,78,Kuca,Carlitos,Kapverdische Inseln
2313776,57,Donashano Malama,Christopher Munthali,Sambia
2313776,72,Patrick Ngoma,Lubambo Musonda,Sambia
2313776,83,Mukuka Mulenga,Given Singuluma,Sambia
2313777,60,Jeremy Bokila,Cedrick Mabwati,DR Kongo
2313777,78,Junior Kabananga,Ndombe Mubele,DR Kongo
2313777,87,Gabriel Zakuani,Cédric Mongongu,DR Kongo
2313777,74,Hamza Younès,Ahmed Akaïchi,Tunesien
2313777,77,Mohamed Ali Moncer,Wahbi Khazri,Tunesien
2313777,87,Stéphane Nater,Houcine Ragued,Tunesien
2313780,68,Mubarak Wakaso,Christian Atsu,Ghana
2313780,83,Afriyie Acquah,Mohammed Rabiu,Ghana
2313780,88,David Accam,André Ayew,Ghana
2313780,46,Lamine Gassama,Papy Djilobodji,Sénégal
2313780,80,Moussa Sow,Dame NDoye,Sénégal
2313780,85,Henri Saivet,Pape Diop,Sénégal
2313781,60,Ishak Belfodil,Riyad Mahrez,Algerien
2313781,64,Saphir Taïder,Mehdi Lacen,Algerien
