GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8225157,braseriea,2015-2016,14.05.2016,Flamengo RJ,Sport Club Recife,1:0
8225159,braseriea,2015-2016,14.05.2016,SE Palmeiras,Atlético Paranaense,4:0
8225160,braseriea,2015-2016,14.05.2016,Atlético Mineiro,Santos FC,1:0
8225162,braseriea,2015-2016,15.05.2016,Coritiba FC,Cruzeiro EC,1:0
8225156,braseriea,2015-2016,15.05.2016,Botafogo RJ,São Paulo FC,0:1
8225165,braseriea,2015-2016,15.05.2016,Santa Cruz FC,EC Vitória BA,4:1
8225158,braseriea,2015-2016,15.05.2016,Corinthians SP,Grêmio Porto Alegre,0:0
8225163,braseriea,2015-2016,15.05.2016,Figueirense,Ponte Preta,0:0
8225164,braseriea,2015-2016,15.05.2016,América MG,Fluminense RJ,0:1
8225161,braseriea,2015-2016,15.05.2016,Internacional,Chapecoense,0:0
8225174,braseriea,2015-2016,21.05.2016,Ponte Preta,SE Palmeiras,2:1
8225167,braseriea,2015-2016,21.05.2016,Fluminense RJ,Santa Cruz FC,2:2
8225170,braseriea,2015-2016,22.05.2016,Cruzeiro EC,Figueirense,2:2
8225169,braseriea,2015-2016,22.05.2016,Santos FC,Coritiba FC,2:1
8225172,braseriea,2015-2016,22.05.2016,Atlético Paranaense,Atlético Mineiro,1:1
8225166,braseriea,2015-2016,22.05.2016,EC Vitória BA,Corinthians SP,3:2
8225168,braseriea,2015-2016,22.05.2016,São Paulo FC,Internacional,1:2
8225171,braseriea,2015-2016,22.05.2016,Grêmio Porto Alegre,Flamengo RJ,1:0
8225173,braseriea,2015-2016,22.05.2016,Chapecoense,América MG,3:1
8225175,braseriea,2015-2016,22.05.2016,Sport Club Recife,Botafogo RJ,1:1
8225176,braseriea,2015-2016,26.05.2016,Botafogo RJ,Atlético Paranaense,2:1
8225183,braseriea,2015-2016,26.05.2016,Figueirense,Santos FC,2:2
8225177,braseriea,2015-2016,26.05.2016,Flamengo RJ,Chapecoense,2:2
8225184,braseriea,2015-2016,26.05.2016,América MG,EC Vitória BA,1:1
