GameID,Minute,Player,Team,Card
8453221,35,Gastón Bojanich,Tigre,yellow
8453221,36,Maximiliano Caire,Tigre,yellow
8453221,40,Denis Stracqualursi,Tigre,yellow
8453221,37,Gastón Díaz,Vélez Sarsfield,yellow
8453221,55,Leandro Desábato,Vélez Sarsfield,yellow
8453221,66,Fabián Cubero,Vélez Sarsfield,yellow
8453221,83,Santiago Cáseres,Vélez Sarsfield,yellow
8453219,71,Nicolás Bertolo,Banfield,yellow
8453219,66,Santiago Martínez,Belgrano de Córdoba,yellow
8453219,80,Tomás Guidara,Belgrano de Córdoba,yellow-red
8453219,90,Marcelo Benítez,Belgrano de Córdoba,yellow
8453219,90,Fabricio Brener,Belgrano de Córdoba,yellow
8453226,63,Hugo Silva,Defensa y Justicia,yellow
8453226,82,Luis Jerez Silva,Defensa y Justicia,yellow
8453226,89,Rafael Delgado,Defensa y Justicia,yellow-red
8453226,32,Fabián Rinaudo,Gimnasia de La Plata,yellow
8453226,87,Manuel Guanini,Gimnasia de La Plata,yellow
8453218,19,Nicolás Leguizamón,Colón de Santa Fe,yellow
8453218,56,Germán Conti,Colón de Santa Fe,yellow
8453218,71,Guillermo Ortíz,Colón de Santa Fe,yellow
8453218,90,Pablo Ledesma,Colón de Santa Fe,yellow
8453218,22,Santiago Romero,Rosario Central,yellow
8453218,69,Fernando Zampedri,Rosario Central,yellow
8453218,81,Germán Herrera,Rosario Central,yellow
8453222,21,Leonardo Godoy,Talleres de Córdoba,yellow
8453222,16,Maximiliano Velázquez,Lanús,yellow
8453222,61,Diego Braghieri,Lanús,yellow
8453229,72,Fabricio Bustos,Independiente,yellow
8453229,29,Lucio Compagnucci,Huracán,yellow
8453229,82,Lucas Villalba,Huracán,yellow
8453227,28,Gustavo Villarruel,San Martín de San Juan,yellow
8453227,67,Arián Pucheta,San Martín de San Juan,yellow
8453227,35,Walter Andrade,Patronato de Paraná,yellow
8453227,82,Gonzalo Di Renzo,Patronato de Paraná,yellow
8453223,30,Rodrigo Aliendro,Atlético Tucumán,yellow
8453223,59,Luis Rodríguez,Atlético Tucumán,yellow
8453223,12,Gastón Giménez,Godoy Cruz,yellow
8453223,43,Javier Correa,Godoy Cruz,yellow
8453223,87,Fabricio Angileri,Godoy Cruz,yellow-red
8453228,70,Matías Caruzzo,San Lorenzo,yellow
8453228,90,Gonzalo Rodríguez,San Lorenzo,yellow
8453228,37,Augusto Solari,Racing Club,yellow
8453228,62,Santiago Rosales,Racing Club,yellow
8453228,90,Lucas Orbán,Racing Club,yellow
8453217,53,Cristian Nasuti,Olimpo de Bahía Blanca,yellow
8453217,84,Cristian Villanueva,Olimpo de Bahía Blanca,yellow
8453230,25,Marcos Figueroa,Temperley,yellow
8453230,66,Emiliano Ozuna,Temperley,yellow
8453230,90,Maximiliano Lugo,Temperley,red
8453230,43,Milton Casco,River Plate,yellow
8453230,45,Ignacio Fernández,River Plate,yellow
8453230,60,Leonardo Ponzio,River Plate,yellow
8453230,90,Jonatan Maidana,River Plate,yellow
8453225,13,Mauro Guevgeozian,Newells Old Boys,yellow
8453225,38,Juan Sills,Newells Old Boys,yellow
8453225,90,José San Román,Newells Old Boys,yellow
8453225,1,Claudio Aquino,Unión de Santa Fe,yellow
8453225,73,Yeimar Gómez,Unión de Santa Fe,yellow
8453231,90,Fernando Zuqui,Estudiantes,yellow
8453231,11,Ramiro Carrera,Arsenal de Sarandí,yellow
8453231,34,Marcos Curado,Arsenal de Sarandí,yellow
8453231,61,Emiliano Papa,Arsenal de Sarandí,yellow
8453231,74,Iván Bella,Arsenal de Sarandí,yellow
8453231,79,Maximiliano Calzada,Arsenal de Sarandí,yellow
8453220,9,Francis Mac Allister,Argentinos Juniors,yellow
8453220,86,Camilo Saiz,Argentinos Juniors,yellow
8453220,22,Juan Martín Imbert,Chacarita Juniors,yellow
8453220,35,Agustín Módula,Chacarita Juniors,yellow
8453220,62,Federico Rosso,Chacarita Juniors,yellow
8453232,72,Matías Vargas,Vélez Sarsfield,yellow
8453232,62,Nahuel Zárate,Atlético Tucumán,yellow-red
8453232,71,Gonzalo Freitas,Atlético Tucumán,yellow
8453232,86,Yonathan Cabral,Atlético Tucumán,yellow
8453242,79,Iván Bella,Arsenal de Sarandí,yellow
8453242,51,Germán Conti,Colón de Santa Fe,yellow
8453233,44,Cristian Nasuti,Olimpo de Bahía Blanca,yellow
8453233,60,Nery Domínguez,Independiente,yellow
8453237,52,Christian Lema,Belgrano de Córdoba,yellow
8453237,72,Juan Brunetta,Belgrano de Córdoba,yellow
8453237,74,Matías Suárez,Belgrano de Córdoba,yellow
8453237,85,Santiago Martínez,Belgrano de Córdoba,yellow
8453237,3,Arián Pucheta,San Martín de San Juan,yellow
8453237,60,Mauricio Casierra,San Martín de San Juan,yellow
8453244,2,Jonathan Schunke,Estudiantes,yellow
8453244,90,Lucas Diarte,Estudiantes,yellow
8453244,90,Fernando Zuqui,Estudiantes,yellow
8453244,59,Hugo Silva,Defensa y Justicia,yellow
8453244,69,Fernando Márquez,Defensa y Justicia,yellow
8453244,90,Gabriel Arias,Defensa y Justicia,yellow
8453239,5,Damián Lemos,Patronato de Paraná,yellow
8453239,32,Luca Sosa,Patronato de Paraná,yellow
8453239,55,Leonel Mosevich,Argentinos Juniors,yellow
8453239,59,Gonzalo Piovi,Argentinos Juniors,yellow
8453240,42,Alexis Soto,Racing Club,yellow
8453240,33,Emiliano Ozuna,Temperley,yellow
8453240,37,Josué Díaz Ayala,Temperley,yellow
8453240,54,Gastón Aguirre,Temperley,yellow
8453240,75,Rodrigo De Ciancio,Temperley,yellow
8453240,77,Ramiro Costa,Temperley,yellow
8453238,56,Germán Ré,Chacarita Juniors,yellow
8453238,69,Ijiel Protti,Chacarita Juniors,yellow
8453238,24,Martín Galmarini,Tigre,yellow
8453238,52,Mathías Abero,Tigre,yellow
8453238,53,Juan Blengio,Tigre,yellow
8453238,90,Daniel Imperiale,Tigre,yellow
8453235,43,Fabián Henríquez,Godoy Cruz,yellow-red
8453235,65,Sebastián Palacios,Talleres de Córdoba,yellow
8453235,77,Guido Herrera,Talleres de Córdoba,yellow
8453243,35,José Leguizamón,Rosario Central,yellow
8453243,41,Leonardo Gil,Rosario Central,yellow
8453243,85,Leonel Rivas,Rosario Central,yellow
8453243,43,Victor Salazar,San Lorenzo,red
8453241,22,Ignacio Scocco,River Plate,yellow
8453241,41,Iván Rossi,River Plate,yellow
8453241,84,Gonzalo Martínez,River Plate,yellow
8453241,16,Nicolás Linares,Banfield,yellow
8453241,27,Mauricio Sperdutti,Banfield,yellow
8453234,4,Marcelo Herrera,Lanús,yellow
8453234,41,Leonel Di Plácido,Lanús,yellow
8453234,75,Alejandro Silva,Lanús,yellow
8453234,43,Pablo Pérez,Boca Juniors,yellow
8453234,59,Wilmar Barrios,Boca Juniors,yellow
8453234,70,Edwin Cardona,Boca Juniors,yellow
8453245,90,Damián Martínez,Unión de Santa Fe,yellow
8453245,20,Nicolás Colazo,Gimnasia de La Plata,yellow
8453245,24,Ezequiel Bonifacio,Gimnasia de La Plata,yellow
8453245,64,Nicolás Dibble,Gimnasia de La Plata,yellow
8453236,4,Cristian Chimino,Huracán,yellow
8453236,42,Nehuén Paz,Newells Old Boys,yellow
8453236,45,Bruno Bianchi,Newells Old Boys,yellow
8453236,82,Mauricio Tévez,Newells Old Boys,yellow
8453247,18,Denis Stracqualursi,Tigre,yellow
8453247,52,Lucas Menossi,Tigre,yellow
8453247,90,Hamilton Pereira,Tigre,yellow
8453247,55,Marcelo Guzmán,Patronato de Paraná,yellow
8453247,90,Damián Lemos,Patronato de Paraná,yellow
8453247,90,Gonzalo Di Renzo,Patronato de Paraná,yellow
8453259,44,Facundo Sánchez,Estudiantes,yellow
8453259,50,Israel Damonte,Estudiantes,yellow
8453251,44,Gastón Machín,Argentinos Juniors,yellow
8453251,64,Leonel Mosevich,Argentinos Juniors,yellow
