GameID,Minute,PlayerIn,PlayerOut,Team
1441062,82,Jorge Curbelo,Facundo Castillón,Godoy Cruz
1441060,56,Juan Sánchez Miño,Walter Erviti,Boca Juniors
1441060,87,Cristian Álvarez,Cristian Chávez,Boca Juniors
1441060,71,Diego Ferreira,Emmanuel Pío,Tigre
1441060,75,Lucas Janson,Agustin Torassa,Tigre
1441060,80,Javier Carrasco,Matías Pérez García,Tigre
1441063,20,Martín Zbrun,Cristian Machin,Atlético Rafaela
1441063,87,Nicolas Capellino,Sebastián Carrera,Atlético Rafaela
1441063,90,Jonathan López,Federico González,Atlético Rafaela
1441063,69,Juan Caffa,Nicolás Aguirre,Arsenal de Sarandí
1441063,69,Brian Sarmiento,Pablo Lugüercio,Arsenal de Sarandí
1441055,66,Fabián Vargas,Roberto Battión,Independiente
1441055,69,Fabián Monserrat,Jonathan Santana,Independiente
1441055,80,Lucas Villafáñez,Gabriel Vallés,Independiente
1441055,65,Gino Peruzzi,Agustin Allione,Vélez Sarsfield
1441055,65,Jonathan Copete,Brian Ferreira,Vélez Sarsfield
1441055,77,Leandro Desábato,Federico Insúa,Vélez Sarsfield
1441070,46,Sebastián DAngelo,Óscar Ustari,Boca Juniors
1441070,77,Nicolás Colazo,Clemente Rodríguez,Boca Juniors
1441070,79,Christian Cellay,Franco Sosa,Boca Juniors
1441070,60,Darío Stefanatto,Oscar Ahumada,All Boys
1441070,72,Elvio Fredrich,Hernán Grana,All Boys
1441070,72,Ángel Vildozo,Juan Pablo Rodríguez,All Boys
1441072,64,Ricardo Gómez,Adrián Bastía,Colón de Santa Fe
1441072,75,Marcelo Argüello,Bruno Urribarri,Colón de Santa Fe
1441072,67,Lucas Aveldaño,César Carranza,Belgrano de Córdoba
1441072,78,César Pereyra,Martín Zapata,Belgrano de Córdoba
1441072,82,Lucas Pittinari,Lucas Melano,Belgrano de Córdoba
1441071,63,Fabian Bordagaray,Martín Rolle,San Lorenzo
1441071,82,Julio Furch,Luís Aguiar,San Lorenzo
1441071,82,Héctor Villalba,Pablo Alvarado,San Lorenzo
1441071,46,Duván Zapata,Gastón Fernández,Estudiantes
1441071,66,Marcos Gelabert,Rodrigo Braña,Estudiantes
1441071,83,Leandro Benítez,Duván Zapata,Estudiantes
1441065,81,Jorge De Olivera,Sebastián Saja,Racing Club
1441065,84,Bruno Zuculini,Mauro Camoranesi,Racing Club
1441065,88,Martín Pérez Guedes,Ricardo Centurión,Racing Club
1441065,67,Martín Benítez,Luciano Leguizamón,Independiente
1441065,78,Osmar Ferreyra,Federico Mancuello,Independiente
1441067,69,Federico Lértora,Nicolás Olmedo,Godoy Cruz
1441067,81,Jorge Córdoba,Iván Óbolo,Godoy Cruz
1441067,87,Washington Camacho,Facundo Castillón,Godoy Cruz
1441067,46,Germán Rodríguez Rojas,Iván Juárez,Atlético Rafaela
1441067,63,Raúl Ferro,Martín Zbrun,Atlético Rafaela
1441067,75,Rodrigo Depetris,Matías Fissore,Atlético Rafaela
1441064,55,Jonathan Copete,Brian Ferreira,Vélez Sarsfield
1441064,69,Ezequiel Rescaldani,Agustin Allione,Vélez Sarsfield
1441064,42,Mauricio Pereyra,Mario Regueiro,Lanús
1441068,51,Diego Ferreira,Emmanuel Pío,Tigre
1441068,51,Diego Ftacla,Agustin Torassa,Tigre
1441068,79,Lucas Janson,Diego Castaño,Tigre
1441068,46,Ariel Rojas,Ezequiel Cirigliano,River Plate
1441068,68,Carlos Luna,Daniel Villalba,River Plate
1441068,77,Martín Aguirre,Manuel Lanzini,River Plate
1441069,65,Martín Giménez,Facundo Diz,Quilmes
1441069,83,Jorge Serrano,Ismael Quílez,Quilmes
1441069,88,Jacobo Mansilla,Leandro Díaz,Quilmes
1441069,63,Marcelo Sarmiento,Diego Galván,Unión de Santa Fe
1441069,73,Alexis Fernández,Mauro Maidana,Unión de Santa Fe
1441069,73,Pablo Magnín,Fausto Montero,Unión de Santa Fe
1441066,42,Juan Caffa,Damián Pérez,Arsenal de Sarandí
1441066,66,Darío Benedetto,Pablo Lugüercio,Arsenal de Sarandí
1441066,87,Brian Sarmiento,Jorge Ortiz,Arsenal de Sarandí
