GameID,Minute,Scorer,Team
1729985,47,Carlos Tenorio,Vasco da Gama
1729991,2,Maxi Biancucchi,EC Vitória BA
1729991,11,Renato Cajá,EC Vitória BA
1729991,29,Diego Forlán,Internacional
1729991,63,Fred,Internacional
1729989,73,Paulinho,Corinthians SP
1729989,24,Rafael Marques,Botafogo RJ
1729993,16,Zé Roberto,Grêmio Porto Alegre
1729993,71,Elano,Grêmio Porto Alegre
1729995,8,Lúcio,São Paulo FC
1729995,44,Jádson,São Paulo FC
1729997,45,Matheus Ferraz,Criciúma EC
1729997,46,Lins,Criciúma EC
1729997,82,João Vitor,Criciúma EC
1729997,71,Diones,EC Bahia
1729987,15,Rafael Sóbis,Fluminense RJ
1729987,53,Samuel Rosa,Fluminense RJ
1729987,28,Manoel,Atlético Paranaense
1729999,5,Diego Souza,Cruzeiro EC
1729999,30,Bruno Rodrigo,Cruzeiro EC
1729999,40,Nílton,Cruzeiro EC
1729999,42,Borges,Cruzeiro EC
1729999,79,Nílton,Cruzeiro EC
1730001,53,Deivid,Coritiba FC
1730001,90,Arthur,Coritiba FC
1730001,51,Diego Tardelli,Atlético Mineiro
1730021,7,Pedro Botelho,Atlético Paranaense
1730021,29,Manoel,Atlético Paranaense
1730021,44,Dedé,Cruzeiro EC
1730021,47,Luan,Cruzeiro EC
1730005,14,Fellype Gabriel,Botafogo RJ
1730005,21,Rafael Marques,Botafogo RJ
1730005,71,Walter Montillo,Santos FC
1730009,60,Luís Fabiano,São Paulo FC
1730009,68,Aloísio,São Paulo FC
1730009,72,Thiago Carleto,São Paulo FC
1730009,74,Luís Fabiano,São Paulo FC
1730009,81,Dakson,Vasco da Gama
1730009,84,Luan Garcia,Vasco da Gama
1730007,25,William Souza,Ponte Preta
1730007,72,Cicinho,Ponte Preta
1730017,12,Maxi Biancucchi,EC Vitória BA
1730017,45,Edson Magal,EC Vitória BA
1730017,49,Maxi Biancucchi,EC Vitória BA
1730015,37,Ernando,Goiás EC
1730015,87,Guilherme,Corinthians SP
1730013,13,Willians,Internacional
1730013,16,Rodrigo Moledo,Internacional
1730019,60,Ronaldinho,Atlético Mineiro
1730019,90,Ronaldinho,Atlético Mineiro
1730023,22,Souza,Portuguesa (SP)
1730023,83,Diogo,Portuguesa (SP)
1730023,37,Rafael Sóbis,Fluminense RJ
1730025,6,Nicolás Lodeiro,Botafogo RJ
1730025,56,Nicolás Lodeiro,Botafogo RJ
1730025,24,Anselmo Ramon,Cruzeiro EC
1730041,32,Éderson,Atlético Paranaense
1730041,71,Éderson,Atlético Paranaense
1730041,77,Marcelo Moreno,Flamengo RJ
1730041,80,Renato,Flamengo RJ
1730043,78,Willian José,Santos FC
1730043,11,Eduardo Vargas,Grêmio Porto Alegre
1730031,31,Dinei,EC Vitória BA
1730031,59,Dinei,EC Vitória BA
1730035,76,Hugo,Goiás EC
1730035,33,Deivid,Coritiba FC
1730029,73,Emerson Sheik,Corinthians SP
1730027,24,Digão,Fluminense RJ
1730027,33,Digão,Fluminense RJ
1730027,80,Wellington Nem,Fluminense RJ
1730033,64,Diego Forlán,Internacional
1730033,9,Matos,EC Bahia
1730033,61,Fernandão,EC Bahia
1730037,15,Rogério,Clube Náutico
1730037,90,Marcos Vinicius,Clube Náutico
1730037,31,Michel,Portuguesa (SP)
1730037,81,Romão,Portuguesa (SP)
1730049,1,Rodrigo,Goiás EC
1730057,14,João Vitor,Criciúma EC
1730057,56,Giancarlo,Criciúma EC
1730057,65,Matheus Ferraz,Criciúma EC
1730057,90,Neilton,Santos FC
1730063,55,Marcelo Cañete,Portuguesa (SP)
1730063,25,Rafael Moura,Internacional
1730045,69,Alisson,Vasco da Gama
1730045,90,Abuda,Vasco da Gama
1730053,69,Elano,Grêmio Porto Alegre
1730055,23,Chiquinho,Ponte Preta
1730055,46,William Souza,Ponte Preta
1730055,85,William Souza,Ponte Preta
1730055,35,Paulo Baier,Atlético Paranaense
1730055,56,Éderson,Atlético Paranaense
1730055,63,Éverton,Atlético Paranaense
1730055,90,Marcão,Atlético Paranaense
1730047,82,Rogério,Clube Náutico
1730051,40,Fernandão,EC Bahia
1730051,68,Fernandão,EC Bahia
1730051,7,Vitinho,Botafogo RJ
1730059,84,Dagoberto,Cruzeiro EC
1730061,16,Robinho,Coritiba FC
1730061,87,Alex,Coritiba FC
1730061,22,Carlinhos,Fluminense RJ
1730077,38,Hernane Brocador,Flamengo RJ
1730077,53,Gabriel,Flamengo RJ
1730077,80,Gabriel,Flamengo RJ
1730079,37,Élber,Cruzeiro EC
1730079,62,Éverton Ribeiro,Cruzeiro EC
1730079,22,Otávio,Internacional
1730079,73,Gabriel,Internacional
1730065,21,Carlos Alberto,Vasco da Gama
1730065,8,Fernandão,EC Bahia
1730075,31,Clarence Seedorf,Botafogo RJ
1730075,35,Antônio Carlos,Botafogo RJ
1730067,82,Rafael Sóbis,Fluminense RJ
1730067,86,Denilson,Fluminense RJ
1730067,70,Vitor,Goiás EC
1730071,27,Luis Cáceres,EC Vitória BA
1730071,35,Maxi Biancucchi,EC Vitória BA
1730071,86,Damián Escudero,EC Vitória BA
1730071,29,Éderson,Atlético Paranaense
1730071,79,Luiz Alberto,Atlético Paranaense
1730081,1,Deivid,Coritiba FC
1730083,3,Cícero,Santos FC
1730073,86,Kléber Gladiador,Grêmio Porto Alegre
1730073,41,Luís Fabiano,São Paulo FC
1730087,8,Marcelo Moreno,Flamengo RJ
1730087,48,Víctor Cáceres,Flamengo RJ
1730087,52,Chico,Coritiba FC
1730087,60,Alex,Coritiba FC
1730097,72,Caion,Clube Náutico
1730097,10,Diego Sacoman,Ponte Preta
1730097,43,William Souza,Ponte Preta
1730097,56,Rildo,Ponte Preta
1730101,76,Pedro Botelho,Atlético Paranaense
1730101,83,Hernán Barcos,Grêmio Porto Alegre
1730103,4,Valdomiro,Portuguesa (SP)
1730103,17,Bruno Rodrigo,Cruzeiro EC
1730089,58,Giva,Santos FC
1730089,82,Cícero,Santos FC
1730091,33,Alexandre Pato,Corinthians SP
1730091,43,Alexandre Pato,Corinthians SP
1730093,40,Diego Forlán,Internacional
1730093,57,Índio,Internacional
1730093,73,Rafael Moura,Internacional
1730093,77,Andrés DAlessandro,Internacional
1730093,17,Nei,Vasco da Gama
1730093,45,André,Vasco da Gama
1730093,65,Rafael Vaz,Vasco da Gama
1730093,86,Fellipe Bastos,Vasco da Gama
1730095,52,Wálter,Goiás EC
1730085,85,Clarence Seedorf,Botafogo RJ
1730099,12,Rosinei,Atlético Mineiro
1730099,27,Luan,Atlético Mineiro
1730099,49,Alecsandro,Atlético Mineiro
1730099,84,Leleu,Atlético Mineiro
1730099,90,Wellington Paulista,Criciúma EC
1730107,36,Carlinhos,Fluminense RJ
1730107,52,Fred,Fluminense RJ
1730107,19,Andrés DAlessandro,Internacional
1730107,33,Diego Forlán,Internacional
1730107,40,Diego Forlán,Internacional
1730123,1,Neilton,Santos FC
1730123,10,Willian José,Santos FC
1730123,75,Neilton,Santos FC
1730123,90,Giva,Santos FC
1730123,87,Bruno Moraes,Portuguesa (SP)
1730109,35,Rosinei,Atlético Mineiro
1730111,20,Dinei,EC Vitória BA
1730111,28,Maxi Biancucchi,EC Vitória BA
1730111,56,Maxi Biancucchi,EC Vitória BA
1730111,9,Aloísio,São Paulo FC
1730111,35,Rogério Ceni,São Paulo FC
1730113,14,Eduardo Vargas,Grêmio Porto Alegre
1730113,35,Eduardo Vargas,Grêmio Porto Alegre
1730113,21,Clarence Seedorf,Botafogo RJ
1730121,55,Geraldo,Coritiba FC
1730105,31,Paulinho,Flamengo RJ
1730119,9,Ricardo Goulart,Cruzeiro EC
1730119,53,Vinícius Araújo,Cruzeiro EC
1730119,69,Vinícius Araújo,Cruzeiro EC
1730125,48,Elias,Botafogo RJ
1730125,78,Renato,Botafogo RJ
1730129,51,Luan,Cruzeiro EC
1730129,79,Luan,Cruzeiro EC
1730129,81,Luan,Cruzeiro EC
1730137,27,Wellington Paulista,Criciúma EC
1730137,76,Matheus Ferraz,Criciúma EC
1730137,37,Zé Roberto,Grêmio Porto Alegre
1730133,90,Juan,Internacional
1730141,5,Marcelo Cirino,Atlético Paranaense
1730141,25,Alexandre Pato,Corinthians SP
1730143,20,Neilton,Santos FC
1730143,64,Cícero,Santos FC
1730143,40,Alex,Coritiba FC
1730143,87,Alex,Coritiba FC
1730127,58,Carlinhos,Fluminense RJ
1730127,18,Juninho Pernambucano,Vasco da Gama
1730127,47,André,Vasco da Gama
1730127,83,Carlos Tenorio,Vasco da Gama
1730135,44,Renan Oliveira,Goiás EC
1730135,65,Renan Oliveira,Goiás EC
1730135,39,Bruno Moraes,Portuguesa (SP)
1730139,6,Marcos Rocha,Atlético Mineiro
1730139,23,Jô,Atlético Mineiro
1730139,71,Jô,Atlético Mineiro
1730139,83,Alecsandro,Atlético Mineiro
1730145,10,Juninho Pernambucano,Vasco da Gama
1730145,56,Rafael Vaz,Vasco da Gama
1730145,74,Edmilson,Vasco da Gama
1730145,63,Ivo,Criciúma EC
1730145,73,Wellington Paulista,Criciúma EC
1730163,12,Moisés,Portuguesa (SP)
1730163,22,Gilberto,Portuguesa (SP)
1730163,7,Manoel,Atlético Paranaense
1730163,63,Dellatorre,Atlético Paranaense
1730163,90,Léo,Atlético Paranaense
1730155,49,Rildo,Ponte Preta
1730153,50,Cristian Riveros,Grêmio Porto Alegre
1730153,84,Kléber Gladiador,Grêmio Porto Alegre
1730157,74,Derley,Clube Náutico
1730157,90,Maikon Leite,Clube Náutico
1730157,90,Rogério,Clube Náutico
1730159,31,Éverton Ribeiro,Cruzeiro EC
1730159,43,Ricardo Goulart,Cruzeiro EC
1730159,53,Nílton,Cruzeiro EC
1730159,57,Ricardo Goulart,Cruzeiro EC
1730159,18,Alecsandro,Atlético Mineiro
1730147,90,Elías,Flamengo RJ
1730147,21,Rafael Marques,Botafogo RJ
1730151,1,Marquinhos Gabriel,EC Bahia
1730151,32,Marquinhos Gabriel,EC Bahia
