GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
1772556,Jorge Carranza,Leonardo Sigali,Leandro Grimi,José San Román,Jorge Curbelo,Federico Lértora,Gonzalo Castellani,Nicolás Castro,José Fernandez,Facundo Castillón,Iván Óbolo,Pablo Migliore,Julio Barraza,Nicolás Freire,José Palomino,Lucas Rodríguez,Franco Flores,Gaspar Iñíguez,Rodrigo Gómez,Santiago Nagüel,Sergio Vittor,Enrique Triverio,David Achucarro,Lucas Ceballos,Luis Jerez Silva,Sebastián Moyano,Jonathan Ramis,Fernando Zuqui,Cristian Aracena,Cristian Garcia,None,None,None,None,Leandro Barrera,Pablo Barzola,Hernán Boyero,Luis Ojeda,Nicolás Olmedo,Ciro Rius,Daniel Villalba,None,None,None,None,None
1772561,Christian Campestrini,Mariano Echeverría,Hugo Nervo,Diego Braghieri,Iván Marcone,Damián Pérez,Fausto Montero,Nicolás Aguirre,Ramiro Carrera,Julián Cardozo,Milton Caraglio,Gerónimo Rulli,Leandro Desábato,Jonathan Silva,Jonathan Schunke,Gastón Gil Romero,Román Martínez,Juan Sebastián Verón,Leonardo Jara,Joaquín Correa,Carlos Auzqui,Duván Zapata,Eduardo Casais,Gastón Esmerado,Julio Furch,Jonatan Gómez,Óscar Limia,Christian Milla,Martín Rolle,None,None,None,None,None,Guido Carrillo,Ernesto Goñi,Mariano González,Álvaro Klusener,Franco Piergiacomi,Matías Presentado,Agustín Silva,None,None,None,None,None
1772562,Nicolás Cambiasso,Marcelo Bustamante,Hernán Grana,Carlos Casteglione,Jonathan Ferrari,Fernando Sánchez,Nicolás Cabrera,Nicolás Colazo,Exequiel Benavídez,Agustin Torassa,Mauro Matos,Esteban Conde,Rodrigo Erramuspe,Martín Zbrun,Andrés Rodales,Joel Sacks,César Mansanelli,Adrián Bastía,Diego Ferreira,Juan Eluchans,Diego Vera,Federico González,Alejandro Barbaro,Roberto Battión,Jonathan Calleri,Alejandro Gagliardi,Bernardo Leyenda,Maximiliano Núñez,Maximiliano Pellegrino,None,None,None,None,None,Lucas Albertengo,Manuel De Iriondo,Rodrigo Depetris,Marcos Figueroa,Esteban Espíndola López,Gonzalo Marinelli,Francisco Martínez,Alexis Niz,None,None,None,None
1772560,Javier García,Érik Godoy,Guillermo Cosaro,Norberto Paparatto,Gabriel Peñalba,Marcos Gelabert,Matías Pérez García,Gastón Díaz,Sebastián Rusculleda,Sergio Araujo,José Sand,Sebastián Sosa,Sebastián Domínguez,Juan Sabiá,Emiliano Papa,Héctor Canteros,Federico Insúa,Ariel Cabral,Francisco Cerro,Jonathan Copete,Lucas Pratto,Ezequiel Rescaldani,Juan Alvacete,Cristian Bordacahar,Diego Castaño,Agustín Cousillas,Leandro Leguizamón,Facundo Sánchez,Lucas Vesco,None,None,None,None,None,Alan Aguerre,Facundo Cardozo,Ramiro Cáseres,Leandro Desábato,Eduardo Pucheta,Leonardo Rolón,Lucas Romero,None,None,None,None,None
1772557,Germán Montoya,Óscar Carniello,Gerardo Alcoba,Ronald Raldes,Bruno Urribarri,Sebastián Prediger,Lucas Mugni,Jacobo Mansilla,Iván Moreno y Fabianesi,Luciano Leguizamón,Rubén Ramírez,Sebastián Saja,Iván Pillud,Matías Cahais,Fernando Ortiz,Claudio Corvalán,Agustín Pelletieri,Bruno Zuculini,Diego Villar,Rodrigo de Paul,Ricardo Centurión,Luciano Vietto,Andrés Bailó,Maximiliano Caire,Facundo Callejo,Facundo Curuchet,Gabriel Graciani,Carlos Luque,Marcelo Meli,None,None,None,None,None,José Luis Gómez,Gabriel Hauche,Nelson Ibáñez,Ezequiel Melillo,Leonardo Miglionico,Mario Regueiro,Leonardo Rolheiser,None,None,None,None,None
1772559,Cristian Álvarez,Mauro Cetto,Gonzalo Prósperi,Juan Mercier,Julio Buffarini,Leandro Romagnoli,Emanuel Mas,Pablo Alvarado,Gonzalo Verón,Martín Cauteruccio,Ángel Correa,Nereo Champagne,Ivan Furios,Cristian Villanueva,Néstor Moiraghi,Adrían Martínez,Fernando Meza,Damián Musto,Martín Pérez Guedes,Leonardo Gil,Nahuel Benítez,Ezequiel Cerutti,Matías Catalán,Fernando Elizari,Néstor Ortigoza,Ignacio Piatti,Alan Ruíz,Sebastián Torrico,Héctor Villalba,None,None,None,None,None,Jonathan Blanco,Darío Capogrosso,Leonardo Ferreyra,Paulo Rosales,Matias Sarulyte,David Vega,Ezequiel Vidal,None,None,None,None,None
1772563,Agustín Marchesín,Paolo Goltz,Carlos Araujo,Maximiliano Velázquez,Carlos Izquierdoz,Diego González,Lautaro Acosta,Fernando Barrientos,Víctor Ayala,Santiago Silva,Silvio Romero,Juan Olave,Juan Quiroga,Renzo Saravia,Luciano Lollo,Lucas Aveldaño,Guillermo Farré,Lucas Zelarayán,Sebastián Carrera,Facundo Affranchino,Jorge Velázquez,César Pereyra,Esteban Andrada,Luciano Balbi,Ismael Blanco,Jorge Pereyra Díaz,Lucas Melano,Jorge Ortiz,Leandro Somoza,None,None,None,None,None,Giuliano Bardín,Pier Barrios,Sebastián Blázquez,Tobias Figueroa,Lucas Pittinari,Emiliano Rigoni,Sergio Rodríguez,None,None,None,None,None
1772558,Fernando Monetti,Osvaldo Barsottini,Juan Blengio,Facundo Oreja,Lucas Licht,Omar Pouso,Franco Mussis,Ignacio Fernández,Maximiliano Meza,Facundo Pereyra,Federico Rasic,Marcelo Barovero,Jonatan Maidana,Éder Balanta,Leonel Vangioni,Gabriel Mercado,Carlos Carbonero,Manuel Lanzini,Osmar Ferreyra,Leonardo Ponzio,Cristian Ledesma,Giovanni Simeone,Pablo Bangardino,Iván Borghello,Maximiliano Coronel,Gastón Díaz,Ignacio Jaúregui,Dardo Miloc,Juan Pablo Rodríguez,None,None,None,None,None,Federico Andrada,Leandro Chichizola,Juan Kaprof,Matías Kranevitter,Germán Pezzella,Ariel Rojas,Carlos Sánchez,None,None,None,None,None
1772555,Mauricio Caranta,Alejandro Donatti,Paulo Ferrari,Franco Peppino,Jonatan Schulze,Hernán Encina,Federico Carrizo,Nery Domínguez,Carlos Luna,Antonio Medina,Diego Lagos,Sebastián Peratta,Sebastián Martínez,Luciano Abecasis,Damián Leyes,Leonel Bontempo,Fernando Telechea,Miguel Caneo,Lucas Pérez Godoy,Leandro Benítez,Pablo Garnier,Emiliano Carrasco,Sebastián Abreu,Matías Ballini,Pablo Becker,Pol Fernández,Manuel García,Lisandro Magallán,Franco Niell,None,None,None,None,None,Joaquín Boghossian,Joel Carli,Leandro Díaz,Silvio Dulcich,Sergio Hipperdinger,Christian Lema,Diego Diellos,None,None,None,None,None
1772554,Agustín Orión,Cata Díaz,Emanuel Insúa,Leandro Marín,Guillermo Burdisso,Juan Martínez,Pablo Ledesma,Román Riquelme,Juan Sánchez Miño,Ribair Rodríguez,Nicolás Blandi,Nahuel Guzmán,Víctor López,Cristian Díaz,Guillermo Ortíz,Diego Mateo,Lucas Bernardi,Pablo Pérez,Milton Casco,Victor Figueroa,Martín Tonso,Víctor Aquino,Emmanuel Gigliotti,Jesús Méndez,Claudio Pérez,Claudio Riaño,Emanuel Trípodi,Nahuel Zárate,Joel Acosta,None,None,None,None,None,Fabián Muñoz,Horacio Orzán,Adrián Gabbarini,Damián Manso,Juan Vieyra,Raúl Villalba,Jonathan Valle,None,None,None,None,None
