GameID,Minute,PlayerIn,PlayerOut,Team
1729985,63,Edmilson,Dakson,Vasco da Gama
1729985,70,Abuda,Fellipe Bastos,Vasco da Gama
1729985,72,Wendel,Alisson,Vasco da Gama
1729985,66,Moisés Mineiro,Corrêa,Portuguesa (SP)
1729985,67,Henrique Campos,Romão,Portuguesa (SP)
1729985,82,Juan Arraya,Souza,Portuguesa (SP)
1729991,46,Giancarlo,Dinei,EC Vitória BA
1729991,60,Vander,Renato Cajá,EC Vitória BA
1729991,76,Marquinhos,Maxi Biancucchi,EC Vitória BA
1729991,63,Josimar,Rafael Moura,Internacional
1729991,63,Cassiano,Willians,Internacional
1729991,74,Vitor Júnior,Kléber,Internacional
1729989,46,Douglas,Danilo,Corinthians SP
1729989,46,Alexandre Pato,Paolo Guerrero,Corinthians SP
1729989,76,Chicão,Paulo André,Corinthians SP
1729989,72,Vitinho,Fellype Gabriel,Botafogo RJ
1729989,80,Andrezinho,Nicolás Lodeiro,Botafogo RJ
1729989,83,Lucas Lima,Júlio César,Botafogo RJ
1729993,73,Guilherme Biteco,Elano,Grêmio Porto Alegre
1729993,77,Kléber Gladiador,Eduardo Vargas,Grêmio Porto Alegre
1729993,90,Welliton,Hernán Barcos,Grêmio Porto Alegre
1729993,72,Adeilson,Caion,Clube Náutico
1729993,73,Jones Carioca,Rogério,Clube Náutico
1729995,65,Alemão,Baraka,Ponte Preta
1729995,70,Rodrigo Biro,Uendel,Ponte Preta
1729995,74,Éverton Santos,Rildo,Ponte Preta
1729995,62,Paulo Miranda,Silvinho,São Paulo FC
1729995,68,Aloísio,Luís Fabiano,São Paulo FC
1729995,68,Wellington,Osvaldo,São Paulo FC
1729997,71,Tartá,Fabinho,Criciúma EC
1729997,79,Gilson,Marcel,Criciúma EC
1729997,49,Omar,Marcelo Lomba,EC Bahia
1729997,55,Diones,Ítalo Melo,EC Bahia
1729997,83,Freddy Adu,Matos,EC Bahia
1730003,69,Gabriel Barbosa,Henrique Dourado,Santos FC
1730003,80,Felipe Anderson,Walter Montillo,Santos FC
1730003,85,Patricio Rodriguez,Rafael Galhardo,Santos FC
1730003,46,Marcelo Moreno,Hernane Brocador,Flamengo RJ
1730003,75,Carlos Eduardo,Luiz Antônio,Flamengo RJ
1730003,80,Paulinho,Gabriel,Flamengo RJ
