GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8453221,Julio Chiarini,Carlos Rodríguez,Alexis Niz,Mathías Abero,Gastón Bojanich,Maximiliano Caire,Hamilton Pereira,Martín Galmarini,Carlos Luna,Denis Stracqualursi,Rodrigo Depetris,Alan Aguerre,Braian Cufré,Fausto Grillo,Gastón Díaz,Lautaro Gianetti,Fabián Cubero,Leandro Desábato,Matías Vargas,Santiago Cáseres,Federico Andrada,Maximiliano Romero,Maximiliano Díaz,Ivo Hong,Daniel Imperiale,Lucas Janson,Ramón Mierez,Matías Pérez García,Ezequiel Rodríguez,None,None,None,None,None,Fabricio Alvarenga,Emiliano Amor,Jorge Correa,Nicolás Delgadillo,Nicolás Domínguez,Matías Pérez Acuña,César Rigamonti,None,None,None,None,None
8453219,Mauricio Arboleda,Renato Civelli,Gonzalo Bettini,Jorge Rodriguez,Adrián Sporle,Nicolás Bertolo,Jesús Dátolo,Nicolás Linares,Mauricio Sperdutti,Pablo Mouche,Darío Cvitanich,Lucas Acosta,Cristian Romero,Tomás Guidara,Christian Lema,Marcelo Benítez,Santiago Martínez,Jorge Ortiz,Neri Bandiera,Jonathan Ramis,Matías Suárez,Mariano Barbieri,Facundo Altamirano,Mauricio Asenjo,Franco Colela,Luciano Gómez,Juan Álvarez,Alexis Sosa,Claudio Villagra,None,None,None,None,None,Fabricio Brener,Tobias Figueroa,Epifanio García,Sebastián Luna,Germán Montoya,Juan Quiroga,Marcos Rivadero,None,None,None,None,None
8453226,Gabriel Arias,Pablo Alvarado,Rafael Delgado,Hugo Silva,Luis Jerez Silva,Ignacio Rivero,Ciro Rius,Gonzalo Castellani,Andrés Cubas,Leonel Miranda,Fernando Márquez,Yair Bonnín,Ezequiel Bonifacio,Omar Alderete,Lucas Licht,Manuel Guanini,Lorenzo Faravelli,Nicolás Colazo,Agustín Bolívar,Fabián Rinaudo,Erik Ramírez,Nicolás Ibáñez,Fabian Bordagaray,Franco Cristaldo,Hernán Fredes,Daniel González,Juan Kaprof,Lucas Suarez,Luis Unsain,None,None,None,None,None,Oliver Paz Benítez,Nicolás Mazzola,Franco Niell,Matias Noble,Facundo Oreja,Luciano Perdomo,Camilo Veloz,None,None,None,None,None
8453218,Alexander Domínguez,Gustavo Toledo,Clemente Rodríguez,Guillermo Ortíz,Germán Conti,Matías Fritzler,Diego Morales,Cristian Guanca,Marcelo Estigarribia,Nicolás Leguizamón,Diego Vera,Diego Rodríguez,Paulo Ferrari,Alfonso Parot,José Leguizamón,Leonardo Gil,Federico Carrizo,Washington Camacho,Mauricio Martínez,Santiago Romero,Marco Rubén,Fernando Zampedri,Pablo Ledesma,Gonzalo Marinelli,Emanuel Olivera,Tomás Sandoval,Tomás Chancalay,Franco Quiroz,Jonathan Galván,None,None,None,None,None,Gustavo Colman,Hernán Da Campo,Germán Herrera,Jeremías Ledesma,Marcelo Ortíz,Joaquin Pereyra,Leonel Rivas,None,None,None,None,None
8453222,Guido Herrera,Javier Gandolfi,Lucas Olaza,Juan Komar,Leonardo Godoy,Emanuel Reynoso,Fernando Godoy,Juan Ramírez,Junior Arias,Jonathan Menéndez,Sebastián Palacios,Fernando Monetti,Maximiliano Velázquez,Diego Braghieri,Nicolás Pasquini,Rolando García,Gabriel Carrasco,Iván Marcone,Lautaro Acosta,Román Martínez,Alejandro Silva,José Sand,Mauricio Caranta,Nicolás Giménez,Franco Malagueño,Carlos Quintana,Cristian Ramírez,Joao Rojas,Marcelo Torres,None,None,None,None,None,Esteban Andrada,Ignacio Canuto,Germán Denis,Facundo Castillón,Leandro Maciel,Matías Rojas,Santiago Zurbriggen,None,None,None,None,None
8453229,Martín Campaña,Alan Franco,Nicolás Tagliafico,Nicolás Domingo,Juan Sánchez Miño,Maximiliano Meza,Walter Erviti,Fabricio Bustos,Ezequiel Barco,Martín Benítez,Leandro Fernández,Marcos Díaz,Saúl Salcedo,Lucas Villalba,Hugo Nervo,Cristian Chimino,Lucio Compagnucci,Alejandro Gamarra,Adrián Calello,Ignacio Pussetto,Ramón Ábila,Fernando Coniglio,Lucas Albertengo,Fernando Amorebieta,Domingo Blanco,Nery Domínguez,Jonás Gutiérrez,Gonzalo Rehak,Diego Rodríguez,None,None,None,None,None,Carlos Araujo,Norberto Briasco,Manuel García,Ezequiel Garré,Matías Juárez,Carlos Matheu,Diego Mendoza,None,None,None,None,None
8453227,Luis Ardente,Gonzalo Prósperi,Matías Escudero,Arián Pucheta,Mauricio Casierra,Gustavo Villarruel,Emiliano Agüero,Claudio Mosca,Álvaro Fernández,Nicolás Maná,Facundo Barcelo,Sebastián Bertoli,Walter Andrade,Lucas Márquez,Lautaro Geminiani,Renzo Vera,Abel Peralta,Alberto Contrera,Martín Rivero,Blas Cáceres,Damián Lemos,Adrián Balboa,Pablo Aguilar,Leonardo Corti,Marcos Gelabert,Carlos Luque,Nicolás Pelaitay,Damián Schmidt,Claudio Spinelli,None,None,None,None,None,Rodrigo Arciero,Mauricio Carrasco,Federico Costa,Gonzalo Di Renzo,Julián Marchioni,Matías Quiroga,Luca Sosa,None,None,None,None,None
8453223,Cristian Lucchetti,Nahuel Zárate,Franco Sbuttoni,Rafael García,Gonzalo Freitas,Guillermo Acosta,Gervasio Núñez,David Barbona,Rodrigo Aliendro,Luis Rodríguez,Ismael Blanco,Leonardo Burian,Leonel Galeano,Sebastián Olivares,Fabricio Angileri,Luciano Abecasis,Gastón Giménez,Fabián Henríquez,Felipe Rodríguez,Juan Garro,Javier Correa,Santiago García,Fabio Álvarez,Eduardo Melo,Dardo Miloc,Gabriel Risso,Nicolás Romat,Jonás Romero,Alejandro Sánchez,None,None,None,None,None,Tomás Cardona,Facundo Cobos,Luis de Faria,Ángel González,Roberto Ramírez,Víctorio Ramis,Diego Viera,None,None,None,None,None
8453228,Nicolás Navarro,Marcos Angeleri,Gonzalo Rodríguez,Matías Caruzzo,Paulo Díaz,Juan Mercier,Franco Mussis,Alexis Castro,Fernando Belluschi,Nicolás Blandi,Ezequiel Cerutti,Juan Musso,Leandro Grimi,Iván Pillud,Miguel Barbieri,Lucas Orbán,Egidio Arévalo,Diego González,Augusto Solari,Lisandro López,Pablo Cuadra,Enrique Triverio,José Conechny,Gabriel Gudiño,Facundo Quignón,Nicolás Reniero,Leandro Romagnoli,Victor Salazar,Sebastián Torrico,None,None,None,None,None,Gastón Gómez,Braian Mansilla,Nicolás Oroz,Juan Patiño,Santiago Rosales,Sergio Vittor,Matías Zaracho,None,None,None,None,None
8453217,Agustín Rossi,Paolo Goltz,Lisandro Magallán,Wilmar Barrios,Frank Fabra,Fernando Gago,Pablo Pérez,Edwin Cardona,Leonardo Jara,Cristian Pavón,Darío Benedetto,Adrián Gabbarini,Cristian Villanueva,Cristian Nasuti,Matías Cahais,Pedro Silva,Lucas Villarruel,Lucas Mancinelli,Emiliano Tellechea,Luis Vila,Franco Troyansky,Maximiliano Fornari,Óscar Benítez,Agustín Bouzat,Julián Chicco,Cristian Espinoza,Gino Peruzzi,Guillermo Sara,Santiago Vergini,None,None,None,None,None,Sebastián Anchoverri,Lautaro Belleggia,Jonathan Blanco,Michael Covea,Orlando Gaona,Nicolás Herranz,Said Llambay,None,None,None,None,None
