GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
2203991,Diego Cavalieri,Bruno,Gum,Carlinhos,Elivélton,Jean,Diguinho,Darío Conca,Wagner,Fred,Rafael Sóbis,Tiago Volpi,Leandro Silva,Marcos Pedroso,Nirley,Thiago Heleno,Giovanni Augusto,Luan,Marcos Assunção,Dudu,Éverton Santos,Lucio Maranhão,Biro Biro,Felipe Garcia,Kenedy,Rafinha,Edwin Valencia,Wálter,Wellington Carvalho,Wellington Silva,Chiquinho,None,None,None,Léo Lisboa,Marquinhos,Nem,Neneca,Paulo Roberto,Rivaldo,Vitor Júnior,Everaldo,Marco Antonio,None,None,None
2203997,Dida,Juan,Fabrício,Cláudio Winck,Paulão,Alan Patrick,Willians,Andrés DAlessandro,Alex,Charles Aránguiz,Rafael Moura,Wilson,Ayrton,Juan,Luiz Gustavo,Mansur,Dão,Luis Cáceres,Marquinhos,Neto Coruja,José Welison,Dinei,Agenor,Ernando,Jorge Henrique,Wellington Paulista,Ygor,Alan Ruschel,Eduardo Sasha,Gladestony,Valdivia,None,None,None,Gustavo,Marcelo,Nino Paraíba,Tarracha,William Henrique,Rodrigo Defendi,Mauri,Vinícius,Souza,None,None,None
2203999,Danilo,Ednei,Rafael Lima,Rodrigo Biro,Abuda,André Paulinho,Régis,Ricardo Conceição,Wanderson,Bérgson,Ronieli,Vanderlei,Chico,Luccas Claro,Victor Ferraz,Carlinhos,Leandro Almeida,Gil,Robinho,Baraka,Júlio César,Roni,Alemão,Bruno Collaço,Fabinho,Nivaldo,Tiago Luis,Tiago Saletti,Wescley,Willian Arão,Dedé,Jailton,Leandro Pereira,None,Bonfim,Denner,Dudu,Geraldo,Jajá,Vaná,Zé Eduardo,Moacir,None,None,None,None
2203992,Rogério Ceni,Antônio Carlos,Rodrigo Caio,Douglas,Souza,Álvaro Pereira,Ganso,Maicon,Boschilia,Luís Fabiano,Alexandre Pato,Jefferson,Bolívar,Doria,Júlio César,Edílson,Marcelo Mattos,Jorge Wagner,Nicolás Lodeiro,Gabriel,Juan Ferreyra,Wallyson,Ademilson,Denilson,Dênis,Luiz Ricardo,Osvaldo,Dorlan Pabón,Paulo Miranda,Reinaldo,None,None,None,None,Aírton,André Bahia,Mario Bolatti,Dankler,Gegê,Lucas,Renan,Renato,Pablo Zeballos,None,None,None
2203994,Santos,Dráusio,Natanael Pimienta,Mario Sérgio,Cleberson,Deivid,João Paulo,Paulinho Dias,Marcos Guilherme,Éderson,Marcelo Cirino,Busatto,Pará,Geromel,Matheus Bressan,Dudu,Edinho,Zé Roberto,Cristian Riveros,Breno,Ramiro,Hernán Barcos,Bruno Mendes,Douglas Coutinho,Felipe,Léo Pereira,Mosquito,Lucas Olaza,Otavio,Wéverton,Bady,None,None,None,Everton,Léo Gago,Lucas Coelho,Marcelo Grohe,Moisés,Maxi Rodríguez,Alan Ruíz,Werley,Rodriguinho,None,None,None
2203995,Victor,Leonardo Silva,Emerson,Nicolás Otamendi,Alex Silva,Pierre,Leandro Donizete,Ronaldinho,Diego Tardelli,Fernandinho Silva,Guilherme,Cássio,Cléber Reis,Gil,Fábio Santos,Fágner,Ralf,Jádson,Luciano,Guilherme,Petros,Romarinho,André,Claudinei,Edcarlos,Fillipe Soutto,Giovanni Santos,Marion,Neto Berola,Réver,Rosinei,None,None,None,Danilo,Felipe Monteiro,Paolo Guerrero,Guilherme Andrade,Walter,Bruno Henrique,Ferrugem,Ze Paulo,Malcom,None,None,None
2203996,Marcelo Lomba,Demerson,Diego Macedo,Pará,Titi,Lincoln,Rafael Miranda,Anderson Talisca,Fahel,Maxi Biancucchi,Rhayner,Fábio,Léo,Egídio,Wallace,Mayke,Marlone,Tinga,Nílton,Souza,Borges,Willian,Emanuel Biancucchi,Branquinho,Douglas Pires,Hélder,Lucas Fonseca,Raul,Jeam,Wilson Pittoni,Rafinha,Railan,None,None,Alisson,Elisson,Marcelo Moreno,Alex Flávio,Eurico,Willian Farias,None,None,None,None,None,None
2203990,Felipe,Leó Moura,Chicão,Wallace Reis,Márcio Araújo,Lucas Mugni,Éverton,Luiz Antônio,Amaral,Alecsandro,Paulinho,Renan,Pedro Henrique,Jackson Souza,Lucas Lima,Amaral,David,Thiago Mendes,Vitor,João Paulo,Araújo,Rychely,Frickson Erazo,Gabriel,João Paulo,Mattheus Oliveira,Muralha,Negueba,Nixon,Paulo Victor,Recife,None,None,None,Alex Alves,Felipe,Léo Bonatini,Liniker,Tiago Real,Ramón,Welinton,None,None,None,None,None
2203993,Aranha,Gabriel,Eugenio Mena,Neto,David Braz,Cicinho,Cícero,Arouca,Leandro Damião,Thiago Ribeiro,Geuvânio,Magrão,Durval,Ewerton Páscoa,Ferron,Patric,Renê,Renan Oliveira,Wendel,Rodrigo Mancha,Felipe Azevedo,Neto Baiano,Alan Santos,Alison,Bruno Peres,Bruno Uvini,Emerson,Jubal Júnior,Vladimir,Diego Cardoso,Lucas Lima,Stéfano Yuri,None,None,Aílton,Ananias,Leonardo,Oswaldo,Rithely,Saulo,Augusto,Danilo Barcelos,Érico Júnior,None,None,None
2203998,Bruno Brigido,Eduardo Santos,Sergio Escudero,Fábio Ferreira,Giovanni,João Vitor,Paulo Baier,Ricardinho,Serginho,Silvinho,Bruno Lopes,Fernando Prass,Lúcio,Juninho,Tiago Alves,Jorge Valdivia,Wendel,Josimar,Marcelo Oliveira,Bruno César,Marquinhos Gabriel,Alan Kardec,Bruno Cortês,Ezequiel,Rodrigo Galatto,Luizinho Mello,Ronaldo Alves,Gustavo,Vitor,Wellington Bruno,None,None,None,None,Sebastián Eguren,Fabio,Felipe Menezes,Leandro,William Mendieta,Wellington da Silva,Wesley,Rodolfo,William Matheus,None,None,None
