GameID,Minute,Player,Team,Card
8225157,60,Paolo Guerrero,Flamengo RJ,yellow
8225157,64,Emerson Sheik,Flamengo RJ,yellow
8225157,46,Rithely,Sport Club Recife,red
8225157,89,Serginho,Sport Club Recife,yellow
8225159,28,Lucas Barrios,SE Palmeiras,yellow
8225159,38,Paulo André,Atlético Paranaense,yellow
8225159,39,Wálter,Atlético Paranaense,yellow
8225159,61,Léo,Atlético Paranaense,yellow-red
8225159,74,Nikão,Atlético Paranaense,yellow
8225160,35,Juan Cazares,Atlético Mineiro,yellow
8225160,56,Carlos Eduardo,Atlético Mineiro,yellow
8225160,51,David Braz,Santos FC,yellow
8225160,62,Gustavo Henrique,Santos FC,yellow
8225162,87,Kléber Gladiador,Coritiba FC,yellow
8225162,59,Henrique,Cruzeiro EC,yellow
8225162,67,Lucas França,Cruzeiro EC,yellow-red
8225162,74,Lucas Romero,Cruzeiro EC,red
8225162,88,Léo,Cruzeiro EC,yellow
8225156,65,Leandrinho,Botafogo RJ,yellow
8225156,8,Banguele,São Paulo FC,yellow
8225156,30,Wilder Guisao,São Paulo FC,yellow
8225156,36,Matheus Reis,São Paulo FC,yellow
8225156,67,Lucas Fernandes,São Paulo FC,yellow
8225156,78,Thiago Mendes,São Paulo FC,yellow
8225165,1,Wellington,Santa Cruz FC,yellow
8225165,45,Grafite,Santa Cruz FC,yellow
8225165,83,Tiago Cardoso,Santa Cruz FC,yellow
8225158,73,Fabián Balbuena,Corinthians SP,yellow
8225158,68,Bobô,Grêmio Porto Alegre,yellow
8225158,88,Edinho,Grêmio Porto Alegre,yellow
8225158,89,Marcelo Grohe,Grêmio Porto Alegre,yellow
8225158,90,Henrique Almeida,Grêmio Porto Alegre,yellow
8225163,23,Elicarlos,Figueirense,yellow
8225163,39,Ferrugem,Figueirense,yellow
8225163,5,João Vitor,Ponte Preta,yellow
8225163,16,Ravanelli,Ponte Preta,yellow
8225163,53,Clayson,Ponte Preta,yellow
8225163,56,Kadu,Ponte Preta,yellow
8225163,66,Douglas Grolli,Ponte Preta,yellow
8225161,26,Vitinho,Internacional,yellow
8225161,36,William,Internacional,yellow
8225161,82,Andrigo,Internacional,yellow
8225161,39,Josimar,Chapecoense,yellow
8225161,75,Cléber Santana,Chapecoense,yellow
8225161,80,Thiego,Chapecoense,yellow-red
8225161,89,Gil,Chapecoense,yellow
8225174,49,Wellington Paulista,Ponte Preta,yellow
8225174,79,Matheus Jesus,Ponte Preta,yellow
8225174,84,Thiago Galhardo,Ponte Preta,yellow
8225174,40,Matheus Sales,SE Palmeiras,yellow
8225174,54,Tchê Tchê,SE Palmeiras,yellow
8225174,59,Thiago Martins,SE Palmeiras,yellow
8225174,86,Gabriel Jesus,SE Palmeiras,yellow
