GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8407657,AUTBundesliga,2017-2018,22.07.2017,Rapid Wien,SV Mattersburg,2:2
8407659,AUTBundesliga,2017-2018,22.07.2017,Wolfsberger AC,RB Salzburg,0:2
8407661,AUTBundesliga,2017-2018,22.07.2017,LASK,FC Admira Wacker,3:0
8407665,AUTBundesliga,2017-2018,23.07.2017,SCR Altach,Austria Wien,3:0
8407669,AUTBundesliga,2017-2018,23.07.2017,Sturm Graz,SKN St. Pölten,3:2
8407677,AUTBundesliga,2017-2018,29.07.2017,RB Salzburg,LASK,1:1
8407681,AUTBundesliga,2017-2018,29.07.2017,SKN St. Pölten,Rapid Wien,1:4
8407687,AUTBundesliga,2017-2018,29.07.2017,SV Mattersburg,Wolfsberger AC,1:0
8407693,AUTBundesliga,2017-2018,30.07.2017,Austria Wien,Sturm Graz,2:3
8407683,AUTBundesliga,2017-2018,30.07.2017,FC Admira Wacker,SCR Altach,4:1
8407697,AUTBundesliga,2017-2018,05.08.2017,LASK,SKN St. Pölten,2:0
8407699,AUTBundesliga,2017-2018,05.08.2017,RB Salzburg,FC Admira Wacker,5:1
8407703,AUTBundesliga,2017-2018,06.08.2017,Wolfsberger AC,SCR Altach,1:0
8407711,AUTBundesliga,2017-2018,06.08.2017,Rapid Wien,Austria Wien,2:2
8407701,AUTBundesliga,2017-2018,06.08.2017,SV Mattersburg,Sturm Graz,2:3
8407721,AUTBundesliga,2017-2018,12.08.2017,SCR Altach,RB Salzburg,0:1
8407717,AUTBundesliga,2017-2018,12.08.2017,Austria Wien,LASK,2:0
8407719,AUTBundesliga,2017-2018,12.08.2017,Sturm Graz,Wolfsberger AC,2:1
8407727,AUTBundesliga,2017-2018,12.08.2017,SKN St. Pölten,SV Mattersburg,0:0
8407725,AUTBundesliga,2017-2018,13.08.2017,FC Admira Wacker,Rapid Wien,3:1
8407739,AUTBundesliga,2017-2018,19.08.2017,Rapid Wien,Sturm Graz,1:2
8407743,AUTBundesliga,2017-2018,19.08.2017,Wolfsberger AC,FC Admira Wacker,2:0
8407735,AUTBundesliga,2017-2018,20.08.2017,RB Salzburg,SKN St. Pölten,5:1
8407749,AUTBundesliga,2017-2018,20.08.2017,LASK,SCR Altach,0:0
8407741,AUTBundesliga,2017-2018,20.08.2017,SV Mattersburg,Austria Wien,1:3
8407765,AUTBundesliga,2017-2018,26.08.2017,Wolfsberger AC,SKN St. Pölten,2:1
8407763,AUTBundesliga,2017-2018,26.08.2017,Rapid Wien,LASK,1:0
8407757,AUTBundesliga,2017-2018,27.08.2017,Sturm Graz,RB Salzburg,1:0
8407759,AUTBundesliga,2017-2018,27.08.2017,SCR Altach,SV Mattersburg,1:0
8407761,AUTBundesliga,2017-2018,27.08.2017,FC Admira Wacker,Austria Wien,1:3
8407785,AUTBundesliga,2017-2018,09.09.2017,LASK,Sturm Graz,2:1
8407771,AUTBundesliga,2017-2018,09.09.2017,Austria Wien,Wolfsberger AC,2:2
8407775,AUTBundesliga,2017-2018,09.09.2017,SV Mattersburg,FC Admira Wacker,0:5
8407781,AUTBundesliga,2017-2018,09.09.2017,SKN St. Pölten,SCR Altach,1:2
8407768,AUTBundesliga,2017-2018,10.09.2017,RB Salzburg,Rapid Wien,2:2
8407791,AUTBundesliga,2017-2018,16.09.2017,SCR Altach,Rapid Wien,2:2
8407797,AUTBundesliga,2017-2018,16.09.2017,FC Admira Wacker,Sturm Graz,2:1
8407803,AUTBundesliga,2017-2018,16.09.2017,Wolfsberger AC,LASK,0:0
8407801,AUTBundesliga,2017-2018,17.09.2017,SV Mattersburg,RB Salzburg,1:2
8407787,AUTBundesliga,2017-2018,17.09.2017,Austria Wien,SKN St. Pölten,5:1
8407813,AUTBundesliga,2017-2018,23.09.2017,Rapid Wien,Wolfsberger AC,4:2
8407811,AUTBundesliga,2017-2018,23.09.2017,Sturm Graz,SCR Altach,0:0
8407815,AUTBundesliga,2017-2018,23.09.2017,SKN St. Pölten,FC Admira Wacker,1:1
8407819,AUTBundesliga,2017-2018,23.09.2017,LASK,SV Mattersburg,2:2
8407809,AUTBundesliga,2017-2018,24.09.2017,RB Salzburg,Austria Wien,0:0
8407670,AUTBundesliga,2017-2018,30.09.2017,SKN St. Pölten,Sturm Graz,0:3
8407658,AUTBundesliga,2017-2018,30.09.2017,SV Mattersburg,Rapid Wien,0:1
8407662,AUTBundesliga,2017-2018,30.09.2017,FC Admira Wacker,LASK,4:2
8407666,AUTBundesliga,2017-2018,01.10.2017,Austria Wien,SCR Altach,2:0
8407660,AUTBundesliga,2017-2018,01.10.2017,RB Salzburg,Wolfsberger AC,2:1
8407678,AUTBundesliga,2017-2018,14.10.2017,LASK,RB Salzburg,1:3
8407682,AUTBundesliga,2017-2018,14.10.2017,Rapid Wien,SKN St. Pölten,1:0
8407684,AUTBundesliga,2017-2018,14.10.2017,SCR Altach,FC Admira Wacker,2:2
8407688,AUTBundesliga,2017-2018,14.10.2017,Wolfsberger AC,SV Mattersburg,2:2
8407694,AUTBundesliga,2017-2018,15.10.2017,Sturm Graz,Austria Wien,3:0
8407702,AUTBundesliga,2017-2018,21.10.2017,Sturm Graz,SV Mattersburg,3:2
8407698,AUTBundesliga,2017-2018,21.10.2017,SKN St. Pölten,LASK,0:1
8407704,AUTBundesliga,2017-2018,21.10.2017,SCR Altach,Wolfsberger AC,3:2
8407700,AUTBundesliga,2017-2018,22.10.2017,FC Admira Wacker,RB Salzburg,1:1
8407712,AUTBundesliga,2017-2018,22.10.2017,Austria Wien,Rapid Wien,0:1
8407726,AUTBundesliga,2017-2018,28.10.2017,Rapid Wien,FC Admira Wacker,1:0
8407718,AUTBundesliga,2017-2018,28.10.2017,LASK,Austria Wien,2:2
8407722,AUTBundesliga,2017-2018,28.10.2017,RB Salzburg,SCR Altach,2:0
8407728,AUTBundesliga,2017-2018,28.10.2017,SV Mattersburg,SKN St. Pölten,1:1
8407720,AUTBundesliga,2017-2018,29.10.2017,Wolfsberger AC,Sturm Graz,0:2
8407740,AUTBundesliga,2017-2018,04.11.2017,Sturm Graz,Rapid Wien,0:0
8407744,AUTBundesliga,2017-2018,04.11.2017,FC Admira Wacker,Wolfsberger AC,0:0
8407750,AUTBundesliga,2017-2018,04.11.2017,SCR Altach,LASK,2:4
8407742,AUTBundesliga,2017-2018,05.11.2017,Austria Wien,SV Mattersburg,1:3
8407736,AUTBundesliga,2017-2018,05.11.2017,SKN St. Pölten,RB Salzburg,1:3
8407764,AUTBundesliga,2017-2018,18.11.2017,LASK,Rapid Wien,1:2
8407760,AUTBundesliga,2017-2018,18.11.2017,SV Mattersburg,SCR Altach,1:0
8407762,AUTBundesliga,2017-2018,18.11.2017,Austria Wien,FC Admira Wacker,2:3
8407766,AUTBundesliga,2017-2018,18.11.2017,SKN St. Pölten,Wolfsberger AC,0:0
8407758,AUTBundesliga,2017-2018,19.11.2017,RB Salzburg,Sturm Graz,5:0
8407786,AUTBundesliga,2017-2018,25.11.2017,Sturm Graz,LASK,1:0
8407776,AUTBundesliga,2017-2018,25.11.2017,FC Admira Wacker,SV Mattersburg,2:0
8407782,AUTBundesliga,2017-2018,25.11.2017,SCR Altach,SKN St. Pölten,3:0
8407772,AUTBundesliga,2017-2018,26.11.2017,Wolfsberger AC,Austria Wien,1:2
8407770,AUTBundesliga,2017-2018,26.11.2017,Rapid Wien,RB Salzburg,2:3
8407798,AUTBundesliga,2017-2018,28.11.2017,Sturm Graz,FC Admira Wacker,6:1
8407788,AUTBundesliga,2017-2018,29.11.2017,SKN St. Pölten,Austria Wien,1:0
8407802,AUTBundesliga,2017-2018,29.11.2017,RB Salzburg,SV Mattersburg,2:0
8407804,AUTBundesliga,2017-2018,29.11.2017,LASK,Wolfsberger AC,2:0
8407792,AUTBundesliga,2017-2018,29.11.2017,Rapid Wien,SCR Altach,1:2
8407814,AUTBundesliga,2017-2018,02.12.2017,Wolfsberger AC,Rapid Wien,0:0
8407812,AUTBundesliga,2017-2018,02.12.2017,SCR Altach,Sturm Graz,1:2
8407817,AUTBundesliga,2017-2018,02.12.2017,FC Admira Wacker,SKN St. Pölten,1:0
8407820,AUTBundesliga,2017-2018,02.12.2017,SV Mattersburg,LASK,1:0
8407810,AUTBundesliga,2017-2018,03.12.2017,Austria Wien,RB Salzburg,1:1
8407671,AUTBundesliga,2017-2018,09.12.2017,Rapid Wien,SV Mattersburg,2:2
8407663,AUTBundesliga,2017-2018,09.12.2017,Sturm Graz,SKN St. Pölten,3:2
8407675,AUTBundesliga,2017-2018,09.12.2017,LASK,FC Admira Wacker,2:1
8407667,AUTBundesliga,2017-2018,10.12.2017,SCR Altach,Austria Wien,1:0
8407673,AUTBundesliga,2017-2018,10.12.2017,Wolfsberger AC,RB Salzburg,0:0
8407679,AUTBundesliga,2017-2018,16.12.2017,RB Salzburg,LASK,0:0
8407689,AUTBundesliga,2017-2018,16.12.2017,FC Admira Wacker,SCR Altach,3:1
8407691,AUTBundesliga,2017-2018,16.12.2017,SV Mattersburg,Wolfsberger AC,5:1
8407695,AUTBundesliga,2017-2018,16.12.2017,SKN St. Pölten,Rapid Wien,0:5
8407685,AUTBundesliga,2017-2018,17.12.2017,Austria Wien,Sturm Graz,1:0
8407709,AUTBundesliga,2017-2018,03.02.2018,SV Mattersburg,Sturm Graz,1:0
8407705,AUTBundesliga,2017-2018,03.02.2018,RB Salzburg,FC Admira Wacker,2:1
8407713,AUTBundesliga,2017-2018,03.02.2018,Wolfsberger AC,SCR Altach,0:0
8407715,AUTBundesliga,2017-2018,03.02.2018,LASK,SKN St. Pölten,2:1
8407707,AUTBundesliga,2017-2018,04.02.2018,Rapid Wien,Austria Wien,1:1
8407731,AUTBundesliga,2017-2018,10.02.2018,SCR Altach,RB Salzburg,0:1
8407723,AUTBundesliga,2017-2018,10.02.2018,Austria Wien,LASK,1:3
8407729,AUTBundesliga,2017-2018,10.02.2018,Sturm Graz,Wolfsberger AC,0:1
8407737,AUTBundesliga,2017-2018,10.02.2018,SKN St. Pölten,SV Mattersburg,0:3
8407733,AUTBundesliga,2017-2018,11.02.2018,FC Admira Wacker,Rapid Wien,2:1
8407747,AUTBundesliga,2017-2018,17.02.2018,Rapid Wien,Sturm Graz,1:1
8407751,AUTBundesliga,2017-2018,17.02.2018,SV Mattersburg,Austria Wien,2:1
8407753,AUTBundesliga,2017-2018,17.02.2018,Wolfsberger AC,FC Admira Wacker,1:3
8407755,AUTBundesliga,2017-2018,17.02.2018,LASK,SCR Altach,2:0
8407745,AUTBundesliga,2017-2018,18.02.2018,RB Salzburg,SKN St. Pölten,4:0
8407777,AUTBundesliga,2017-2018,24.02.2018,FC Admira Wacker,Austria Wien,2:1
8407773,AUTBundesliga,2017-2018,24.02.2018,SCR Altach,SV Mattersburg,1:1
8407779,AUTBundesliga,2017-2018,24.02.2018,Rapid Wien,LASK,2:0
8407783,AUTBundesliga,2017-2018,24.02.2018,Wolfsberger AC,SKN St. Pölten,0:1
8407767,AUTBundesliga,2017-2018,25.02.2018,Sturm Graz,RB Salzburg,2:4
8407807,AUTBundesliga,2017-2018,03.03.2018,LASK,Sturm Graz,0:2
8407793,AUTBundesliga,2017-2018,03.03.2018,Austria Wien,Wolfsberger AC,2:0
8407799,AUTBundesliga,2017-2018,03.03.2018,SV Mattersburg,FC Admira Wacker,3:2
8407805,AUTBundesliga,2017-2018,03.03.2018,SKN St. Pölten,SCR Altach,1:2
8407789,AUTBundesliga,2017-2018,04.03.2018,RB Salzburg,Rapid Wien,1:0
8407821,AUTBundesliga,2017-2018,10.03.2018,SCR Altach,Rapid Wien,0:0
8407816,AUTBundesliga,2017-2018,10.03.2018,Austria Wien,SKN St. Pölten,4:0
8407823,AUTBundesliga,2017-2018,10.03.2018,FC Admira Wacker,Sturm Graz,2:4
8407827,AUTBundesliga,2017-2018,10.03.2018,Wolfsberger AC,LASK,0:3
8407825,AUTBundesliga,2017-2018,11.03.2018,SV Mattersburg,RB Salzburg,2:2
8407833,AUTBundesliga,2017-2018,17.03.2018,Rapid Wien,Wolfsberger AC,5:1
8407831,AUTBundesliga,2017-2018,17.03.2018,Sturm Graz,SCR Altach,1:0
8407835,AUTBundesliga,2017-2018,17.03.2018,SKN St. Pölten,FC Admira Wacker,1:2
8407837,AUTBundesliga,2017-2018,17.03.2018,LASK,SV Mattersburg,3:1
8407829,AUTBundesliga,2017-2018,18.03.2018,RB Salzburg,Austria Wien,5:0
