GameID,League,Season,Date,HomeTeam,AwayTeam,Result
1765599,AUTBundesliga,2013-2014,20.07.2013,Austria Wien,FC Admira Wacker,2:0
1765595,AUTBundesliga,2013-2014,20.07.2013,SV Grödig,SV Ried,0:0
1765597,AUTBundesliga,2013-2014,20.07.2013,Wolfsberger AC,Rapid Wien,2:2
1765598,AUTBundesliga,2013-2014,20.07.2013,SC Wiener Neustadt,RB Salzburg,1:5
1765596,AUTBundesliga,2013-2014,21.07.2013,FC Wacker Innsbruck,Sturm Graz,2:2
1765602,AUTBundesliga,2013-2014,27.07.2013,Rapid Wien,SC Wiener Neustadt,4:0
1765600,AUTBundesliga,2013-2014,27.07.2013,SV Ried,Wolfsberger AC,1:0
1765603,AUTBundesliga,2013-2014,27.07.2013,RB Salzburg,Austria Wien,5:1
1765604,AUTBundesliga,2013-2014,27.07.2013,FC Admira Wacker,FC Wacker Innsbruck,1:2
1765601,AUTBundesliga,2013-2014,28.07.2013,Sturm Graz,SV Grödig,0:2
1765609,AUTBundesliga,2013-2014,03.08.2013,SC Wiener Neustadt,Wolfsberger AC,2:1
1765605,AUTBundesliga,2013-2014,03.08.2013,SV Grödig,FC Admira Wacker,7:1
1765606,AUTBundesliga,2013-2014,03.08.2013,FC Wacker Innsbruck,RB Salzburg,1:1
1765610,AUTBundesliga,2013-2014,03.08.2013,Austria Wien,SV Ried,3:3
1765607,AUTBundesliga,2013-2014,04.08.2013,Sturm Graz,Rapid Wien,2:4
1765615,AUTBundesliga,2013-2014,10.08.2013,Wolfsberger AC,FC Wacker Innsbruck,1:1
1765614,AUTBundesliga,2013-2014,10.08.2013,SV Ried,SC Wiener Neustadt,1:1
1765618,AUTBundesliga,2013-2014,10.08.2013,RB Salzburg,SV Grödig,4:1
1765619,AUTBundesliga,2013-2014,10.08.2013,FC Admira Wacker,Sturm Graz,1:1
1765617,AUTBundesliga,2013-2014,11.08.2013,Rapid Wien,Austria Wien,0:0
1765622,AUTBundesliga,2013-2014,17.08.2013,Sturm Graz,RB Salzburg,1:1
1765620,AUTBundesliga,2013-2014,17.08.2013,SV Grödig,Wolfsberger AC,4:3
1765621,AUTBundesliga,2013-2014,17.08.2013,FC Wacker Innsbruck,SV Ried,2:3
1765623,AUTBundesliga,2013-2014,17.08.2013,Austria Wien,SC Wiener Neustadt,5:0
1765624,AUTBundesliga,2013-2014,18.08.2013,FC Admira Wacker,Rapid Wien,2:0
1765625,AUTBundesliga,2013-2014,24.08.2013,SV Ried,Sturm Graz,3:0
