GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
1729985,Michel Alves,Elsinho,Luan Garcia,Renato Silva,Alisson,Dakson,Sandro Silva,Yoshimar Yotún,Fellipe Bastos,Éder Luís,Carlos Tenorio,Gledson,Lima,Rogério,Valdomiro,Corrêa,Ferdinando,Souza,Matheus,Diogo,Luiz Ricardo,Romão,Abuda,Edmilson,Wendel,None,None,None,None,None,None,None,None,None,Juan Arraya,Henrique Campos,Moisés Mineiro,None,None,None,None,None,None,None,None,None
1729991,Wilson,Gabriel Paulista,Nino Paraíba,Victor Ramos,Mansur,Luis Cáceres,Damián Escudero,Neto Coruja,Renato Cajá,Maxi Biancucchi,Dinei,Agenor,Gabriel,Juan,Kléber,Rodrigo Moledo,Aírton,Fred,Willians,Andrés DAlessandro,Diego Forlán,Rafael Moura,Marquinhos,Vander,Giancarlo,None,None,None,None,None,None,None,None,None,Josimar,Vitor Júnior,Cassiano,None,None,None,None,None,None,None,None,None
1729989,Cássio,Gil,Fábio Santos,Paulo André,Ralf,Paulinho,Danilo,Edenilson,Paolo Guerrero,Emerson Sheik,Romarinho,Jefferson,Antônio Carlos,Lucas,Bolívar,Júlio César,Fellype Gabriel,Clarence Seedorf,Marcelo Mattos,Nicolás Lodeiro,Gabriel,Rafael Marques,Chicão,Douglas,Alexandre Pato,None,None,None,None,None,None,None,None,None,Andrezinho,Lucas Lima,Vitinho,None,None,None,None,None,None,None,None,None
1729993,Dida,Pará,Werley,Alex Telles,Matheus Bressan,Souza,Elano,Zé Roberto,Fernando,Eduardo Vargas,Hernán Barcos,Felipe Garcia,João Filipe,Luiz Eduardo,Maranhão,Elicarlos,Josa,Martinez,Rodrigo Souto,Élton,Rogério,Caion,Guilherme Biteco,Kléber Gladiador,Welliton,None,None,None,None,None,None,None,None,None,Adeilson,Jones Carioca,None,None,None,None,None,None,None,None,None,None
1729995,Edson Bastos,Cicinho,Cléber Reis,Diego Sacoman,Uendel,Baraka,Chiquinho,Magal,Luis Ramírez,Rildo,William Souza,Dênis,Lúcio,Rodrigo Caio,Édson Silva,Thiago Carleto,Douglas,Jádson,Denilson,Silvinho,Luís Fabiano,Osvaldo,Alemão,Éverton Santos,Rodrigo Biro,None,None,None,None,None,None,None,None,None,Aloísio,Paulo Miranda,Wellington,None,None,None,None,None,None,None,None,None
1729997,Bruno Brigido,Ewerton Páscoa,Marlon,Matheus Ferraz,João Vitor,Bruno Renan,Elton,Tiago Dutra,Fabinho,Lins,Marcel,Marcelo Lomba,Jussandro,Rafael Donato,Mádson,Titi,Ítalo Melo,Matos,Fahel,Hélder,Fernandão,Marquinhos Gabriel,Gilson,Tartá,None,None,None,None,None,None,None,None,None,None,Freddy Adu,Diones,Omar,None,None,None,None,None,None,None,None,None
1730003,Rafael,Rafael Galhardo,Edu Dracena,Léo,Durval,Cícero,Walter Montillo,Renê Júnior,Arouca,Henrique Dourado,Neymar,Felipe,Ramon,Renato Santos,Leó Moura,Marcos González,Elías,Renato,Luiz Antônio,Rafinha,Hernane Brocador,Gabriel,Felipe Anderson,Patricio Rodriguez,Gabriel Barbosa,None,None,None,None,None,None,None,None,None,Carlos Eduardo,Marcelo Moreno,Paulinho,None,None,None,None,None,None,None,None,None
1729987,Berna,Gum,Elivélton,Anderson,Luciano Monzón,Wellington Silva,Diguinho,Felipe,Fábio,Rafael Sóbis,Samuel Rosa,Wéverton,Léo,Manoel,Cleberson,Deivid,Éverton,Felipe,João Paulo,Pedro Botelho,Marcelo Cirino,Éderson,Eduardo Teixeira,Rhayner,Willian,None,None,None,None,None,None,None,None,None,Ciro,Marcão,Paulo Baier,None,None,None,None,None,None,None,None,None
1729999,Fábio,Ceará,Egídio,Dedé,Bruno Rodrigo,Diego Souza,Éverton Ribeiro,Nílton,Leandro Guerreiro,Borges,Dagoberto,Harlei,Ernando,Valmir Lucas,William Matheus,Amaral,Hugo,Renan Oliveira,Thiago Mendes,Vitor,Araújo,Wálter,Élber,Lucca,Ricardo Goulart,None,None,None,None,None,None,None,None,None,Eduardo Sasha,Júnior Viçosa,Ramón,None,None,None,None,None,None,None,None,None
1730001,Vanderlei,Chico,Denis,Victor Ferraz,Leandro Almeida,Alex,Gil,Júnior Urso,Robinho,Deivid,Geraldo,Victor,Leonardo Silva,Réver,Júnior César,Carlos César,Pierre,Bernard,Josué,Diego Tardelli,Alecsandro,Luan,Arthur,Darío Bottinelli,Lincoln,None,None,None,None,None,None,None,None,None,Guilherme,Leleu,Serginho,None,None,None,None,None,None,None,None,None
