GameID,Minute,PlayerIn,PlayerOut,Team
8290699,69,Kevin Mercado,Rodrigo Depetris,Sarmiento de Junín
8290699,77,Daniel Garro,Maximiliano Fornari,Sarmiento de Junín
8290699,83,Renzo Spinacci,Gonzalo Di Renzo,Sarmiento de Junín
8290699,46,Julio César Rodríguez,Gonzalo Giménez,Arsenal de Sarandí
8290699,59,Gonzalo Papa,Juan Sánchez,Arsenal de Sarandí
8290699,81,Martín Giménez,Franco Costa,Arsenal de Sarandí
8290702,60,Ángel González,Juan Garro,Godoy Cruz
8290702,73,Ezequiel Bonacorso,Luciano Abecasis,Godoy Cruz
8290702,82,Gabriel Carabajal,Fabián Henríquez,Godoy Cruz
8290702,46,Ignacio Pussetto,Alejandro Gamarra,Huracán
8290702,46,Patricio Toranzo,Lucio Compagnucci,Huracán
8290702,75,Norberto Briasco,Mauro Bogado,Huracán
8290696,66,Manuel Guanini,Franco Niell,Gimnasia de La Plata
8290696,77,Nicolás Ibáñez,Pablo Vegetti,Gimnasia de La Plata
8290696,83,Dardo Miloc,Ramiro Carrera,Gimnasia de La Plata
8290696,62,Jorge Correa,Diego Zabala,Vélez Sarsfield
8290696,69,Maximiliano Romero,Fabricio Alvarenga,Vélez Sarsfield
8290696,83,Lucas Robertone,Gonzalo Diaz,Vélez Sarsfield
8290695,46,Ezequiel Rodríguez,Marco Rubén,Rosario Central
8290695,73,Agustín Coscia,Teófilo Gutiérrez,Rosario Central
8290695,78,Gustavo Colman,Cristian Villagra,Rosario Central
8290695,60,Fernando Elizari,Juan Kaprof,Defensa y Justicia
8290695,66,Tomás Pochettino,Hernán Fredes,Defensa y Justicia
8290695,79,Elias Gómez,Agustín Bouzat,Defensa y Justicia
8290693,60,Lautaro Martínez,Óscar Romero,Racing Club
8290693,76,Braian Mansilla,Santiago Rosales,Racing Club
8290693,69,Nicolás Giménez,Leonardo Gil,Talleres de Córdoba
8290693,70,Aldo Araujo,Juan Ramírez,Talleres de Córdoba
8290693,87,Rodrigo Burgos,Fernando Godoy,Talleres de Córdoba
8290698,46,Javier Mendoza,Leandro González,Atlético Tucumán
8290698,78,Fernando Zampedri,Luis Rodríguez,Atlético Tucumán
8290698,85,Ignacio Canuto,Guillermo Acosta,Atlético Tucumán
8290698,64,Gabriel Morales,Fernando Luna,Atlético Rafaela
8290698,69,Robin Ramirez,Mauro Albertengo,Atlético Rafaela
8290698,77,Marco Borgnino,Gabriel Gudiño,Atlético Rafaela
8290694,59,Tino Costa,Franco Mussis,San Lorenzo
8290694,59,Sebastián Blanco,Bautista Merlini,San Lorenzo
8290694,71,Marcos Angeleri,Fabricio Coloccini,San Lorenzo
8290694,63,Nicolás Pelaitay,Marcos Gelabert,San Martín de San Juan
8290694,64,Nicolás Maná,Emanuel Dening,San Martín de San Juan
8290694,71,Jorge Luna,Maximiliano Lugo,San Martín de San Juan
8290700,52,Sebastián Rincón,Paulo Lima,Tigre
8290700,74,Carlos Luna,Federico González,Tigre
8290700,80,Alexis Castro,Jorge Rodríguez,Tigre
8290700,68,Juan Cavallaro,Lucas Rodríguez,Estudiantes
8290700,74,Gabriel Graciani,Augusto Solari,Estudiantes
8290700,81,Juan Cascini,Israel Damonte,Estudiantes
8290701,60,Federico Andrada,Cristian Garcia,Quilmes
8290701,75,José Valdéz,Enzo Acosta,Quilmes
8290701,90,Ismael Benegas,Hernán Da Campo,Quilmes
8290701,67,Mauro Matos,Mauro Fórmica,Newells Old Boys
8290701,79,Juan Sills,Maxi Rodriguez,Newells Old Boys
8290701,88,Sebastián Prediger,Ignacio Scocco,Newells Old Boys
8290703,64,Iván Óbolo,Mario Bolatti,Belgrano de Córdoba
8290703,75,Fernando Márquez,Claudio Bieler,Belgrano de Córdoba
8290703,87,Nahuel Luján,Cristian Romero,Belgrano de Córdoba
8290703,44,Martín Benítez,Leandro Fernández,Independiente
8290703,57,Ezequiel Barco,Jesús Méndez,Independiente
8290703,72,Diego Vera,Germán Denis,Independiente
8290705,59,Bruno Pittón,Diego Godoy,Unión de Santa Fe
8290705,65,Diego Villar,Martín Rolle,Unión de Santa Fe
8290705,77,Danilo Carando,Federico Anselmo,Unión de Santa Fe
8290705,57,Maximiliano Pérez,Jonathan Blanco,Olimpo de Bahía Blanca
8290705,57,Federico Freire,Juan Quiroga,Olimpo de Bahía Blanca
8290705,70,Francisco Pizzini,Said Llambay,Olimpo de Bahía Blanca
8290692,62,Marcelo Larrondo,Sebastián Driussi,River Plate
8290692,75,Tomás Andrade,Andrés DAlessandro,River Plate
8290692,75,Iván Alonso,Lucas Alario,River Plate
8290692,47,Eric Remedi,Nicolás Bertolo,Banfield
8290692,69,Mauricio Asenjo,Juan Cobo,Banfield
8290692,75,Adrián Sporle,Brian Sarmiento,Banfield
8290704,50,Brian Montenegro,José Sand,Lanús
8290704,51,Ciro Rius,Marcelino Moreno,Lanús
8290704,69,Alejandro Silva,Lautaro Acosta,Lanús
8290704,69,Ricardo Centurión,Gonzalo Castellani,Boca Juniors
8290704,81,Walter Bou,Darío Benedetto,Boca Juniors
8290691,52,Cristian Llama,Roberto Brum,Aldosivi
8290691,55,Alan Alegre,Federico León,Aldosivi
8290691,79,Juan Dinenno,Pablo Lugüercio,Aldosivi
8290691,70,Diego Lagos,Iván Torres,Colón de Santa Fe
8290691,73,Raúl Iberbia,Clemente Rodríguez,Colón de Santa Fe
8290691,88,Fidencio Oviedo,Cristián Bernardi,Colón de Santa Fe
8290697,64,Leonardo Di Lorenzo,Lucas Parodi,Temperley
8290697,75,Ariel Cólzera,Marcos Figueroa,Temperley
8290697,84,Cristian Palacios,Claudio Vázquez,Temperley
8290697,54,Marcelo Guzmán,Lautaro Geminiani,Patronato de Paraná
8290697,65,Matías Quiroga,Alejandro Gagliardi,Patronato de Paraná
8290697,71,Nicolás Bertocchi,Gonzalo Espinoza,Patronato de Paraná
8290715,46,Arnaldo González,Damián Arce,Patronato de Paraná
8290715,75,Alejandro Gagliardi,Matías Garrido,Patronato de Paraná
8290715,81,Nicolás Bertocchi,Ivan Furios,Patronato de Paraná
8290715,68,Nicolás Ibáñez,Franco Niell,Gimnasia de La Plata
8290715,78,Nicolás Mazzola,Pablo Vegetti,Gimnasia de La Plata
8290715,85,Lorenzo Faravelli,Maximiliano Meza,Gimnasia de La Plata
8290710,46,Jerónimo Barrales,Ezequiel Garré,Huracán
8290710,46,Patricio Toranzo,Mauro Bogado,Huracán
8290710,67,Alejandro Gamarra,Ignacio Pussetto,Huracán
8290710,58,Juan Martínez Trejo,Enzo Acosta,Quilmes
8290710,66,Nicolás Benegas,Cristian Garcia,Quilmes
8290710,77,Matías Pérez Acuña,Hernán Da Campo,Quilmes
8290707,63,Martín Pérez Guedes,Maximiliano Pérez,Olimpo de Bahía Blanca
8290707,68,José Correa,Fernando Coniglio,Olimpo de Bahía Blanca
8290707,88,Jonathan Blanco,Jacobo Mansilla,Olimpo de Bahía Blanca
8290707,52,Miguel Almirón,Ciro Rius,Lanús
8290707,80,Nicolás Pasquini,Diego Braghieri,Lanús
8290707,83,Brian Montenegro,Iván Marcone,Lanús
8290720,64,Brian Sarmiento,Luciano Gómez,Banfield
8290720,71,Claudio Villagra,Agustin Fontana,Banfield
8290720,76,Franco Colela,Eric Remedi,Banfield
8290720,58,Walter Acuña,Iván Torres,Colón de Santa Fe
8290720,59,Raúl Iberbia,Clemente Rodríguez,Colón de Santa Fe
8290720,88,Tomás Sandoval,Pablo Ledesma,Colón de Santa Fe
8290718,59,Diego Cháves,Leandro Martínez,San Martín de San Juan
8290718,71,Nicolás Maná,Emanuel Dening,San Martín de San Juan
8290718,78,Jorge Luna,Marcos Gelabert,San Martín de San Juan
8290718,58,Ezequiel Videla,Lautaro Martínez,Racing Club
8290718,68,Braian Mansilla,Óscar Romero,Racing Club
8290718,90,Santiago Rosales,Marcos Acuña,Racing Club
8290706,61,Guido Vadala,Diego Villar,Unión de Santa Fe
8290706,70,Martín Rivero,Martín Rolle,Unión de Santa Fe
