GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8291049,Sebastián Bertoli,Lautaro Geminiani,Ivan Furios,Abel Masuero,Marcos Maydana,Marcelo Guzmán,Alejandro Gagliardi,Damián Arce,Damián Lemos,Matías Quiroga,Gabriel Vargas,Javier Burrai,Nicolás Bianchi Arce,Maximiliano Méndez,Adrián Scifo,Walter Busse,Gervasio Núñez,Lucas Pérez Godoy,Guillermo Ferracutti,Alexis Niz,Nicolás Rinaldi,Patricio Vidal,Nicolás Bertocchi,Mauricio Carrasco,Lautaro Comas,Federico Costa,Gabriel Graciani,Lucas Márquez,Fernando Telechea,None,None,None,None,None,Héctor Cuevas,Rodrigo Depetris,Francisco Dutari,Hamilton Pereira,Renzo Spinacci,Manuel Vicentini,Joaquín Vivani,None,None,None,None,None
8291037,Pablo Santillo,Marcos Curado,Claudio Corvalán,Sergio Velázquez,Jonathan Bottinelli,Renzo Pérez,Federico Milo,Leandro Marín,Lucas Wilchez,Juan Brunetta,Juan Sánchez,Matías Ibáñez,Cristian Chimino,Gastón Aguirre,Alexis Zárate,Gastón Bojanich,Gonzalo Escobar,Leonardo Di Lorenzo,Abel Peralta,Emiliano Ozuna,Mauro Guevgeozian,Marcos Figueroa,Gonzalo Bazán,Franco Bellocq,Joaquín Boghossian,Maximiliano Calzada,Franco Fragapane,Diego Pellegrino,Leonardo Rolón,None,None,None,None,None,Ignacio Boggino,Ariel Cólzera,Lucas Mancinelli,Dardo Miloc,Matías Sánchez,Claudio Vázquez,Leandro de Bortolí,None,None,None,None,None
8291047,Gabriel Arias,Alexander Barboza,Rafael Delgado,Hugo Silva,Ignacio Rivero,Nicolás Stefanelli,Fernando Elizari,Jonás Gutiérrez,Agustín Bouzat,Leonel Miranda,Andrés Ríos,César Rigamonti,Matias Sarulyte,Sergio Escudero,Lucas Carrizo,Matías Pérez Acuña,Matías Orihuela,Adrián Calello,Gastón Bottino,Maximiliano González,Gabriel Ramírez,Federico Andrada,Lucas Bareiro,Tomás Cardona,Gonzalo Castellani,Hernán Fredes,Juan Kaprof,Tomás Pochettino,Luis Unsain,None,None,None,None,None,Ignacio Bailone,Diego Colotto,Rodrigo Contreras,Matías Escobar,Francisco Ilarregui,Brandon Obregón,Horacio Ramírez,None,None,None,None,None
8291048,Alan Aguerre,Braian Cufré,Fausto Grillo,Maximiliano Caire,Lautaro Gianetti,Juan Martínez,Leandro Desábato,Matías Vargas,Santiago Cáseres,Mariano Pavone,Diego Zabala,Javier García,Érik Godoy,Paulo Lima,Oliver Paz Benítez,Diego Sosa,Martín Galmarini,Alexis Castro,Lucas Menossi,Agustín Cardozo,Sebastián Rincón,Ramón Mierez,Fabricio Alvarenga,Emiliano Amor,Fabián Assmann,Nicolás Delgadillo,Nicolás Domínguez,Maximiliano Romero,Nicolás Tripichio,None,None,None,None,None,Diego Castaño,Mariano Echeverría,Nelson Ibáñez,Gaspar Iñíguez,Carlos Luna,Walter Mazzantti,Emiliano Papa,None,None,None,None,None
8291055,Cristian Lucchetti,Ignacio Canuto,Leonel Di Plácido,Fernando Evangelista,Nery Leyes,David Barbona,Fabio Álvarez,Jairo Palomino,Rodrigo Aliendro,Luis Rodríguez,Leandro González,Hilario Navarro,Alexis Soto,Gonzalo Bettini,Renato Civelli,Jorge Rodriguez,Juan Cobo,Nicolás Bertolo,Brian Sarmiento,Mauricio Sperdutti,Eric Remedi,Darío Cvitanich,Josué Díaz Ayala,Tomás Cuello,Guillermo Acosta,Enrique Meza,Gonzalo Ontivero,Franco Quiroga,Pablo Rosales,None,None,None,None,None,Mauricio Arboleda,Mauricio Asenjo,Luciano Gómez,Juan Álvarez,Martin Lucero,Gonzalo Prósperi,Adrián Sporle,None,None,None,None,None
8291060,Lucas Acosta,Lucas Aveldaño,Renzo Saravia,Cristian Romero,Juan Quiroga,Guillermo Farré,Federico Lértora,Claudio Aquino,Fernando Márquez,Lucas Melano,Mariano Barbieri,Sebastián Bertoli,Walter Andrade,Lucas Márquez,Lautaro Geminiani,Abel Masuero,Marcelo Guzmán,Alejandro Gagliardi,Damián Arce,Fernando Telechea,Nicolás Bertocchi,Matías Quiroga,Gabriel Alanis,Gastón Álvarez Suárez,Tomás Attis,Sebastián Luna,Germán Montoya,Franco Pardo,Jorge Velázquez,None,None,None,None,None,Mauricio Carrasco,Federico Costa,Ivan Furios,Gabriel Graciani,Marcos Maydana,Tomás Spinelli,Gabriel Vargas,None,None,None,None,None
8291061,Esteban Andrada,José Luis Gómez,Marcos Pinto,Marcelo Herrera,Rolando García,Agustín Pelletieri,Ciro Rius,Matías Sánchez,Román Martínez,Germán Denis,Marcelino Moreno,Lucas Hoyos,Teodoro Paredes,Mathías Abero,Óscar Carniello,Gastón Campi,Fernando Luna,Gabriel Gudiño,Emiliano Romero,Lucas Pittinari,Kevin Itabel,Leandro Díaz,Lautaro Acosta,Nicolás Avellaneda,Diego Braghieri,Iván Marcone,Nicolás Pasquini,José Sand,Santiago Zurbriggen,None,None,None,None,None,Mauro Albertengo,Lucas Blondel,Ramiro Costa,Ramiro Macagno,Ángelo Martino,Diego Montiel,Facundo Soloa,None,None,None,None,None
8291056,Javier Burrai,Nicolás Bianchi Arce,Maximiliano Méndez,Brian Fernández,Adrián Scifo,Walter Busse,Gervasio Núñez,Lucas Pérez Godoy,Guillermo Ferracutti,Alexis Niz,Patricio Vidal,Guido Herrera,Javier Gandolfi,Guillermo Cotugno,Juan Komar,Leonardo Godoy,Leonardo Gil,Emanuel Reynoso,Pablo Guiñazú,Víctorio Ramis,Ezequiel Rescaldani,Jonathan Menéndez,Marcos Astina,Héctor Cuevas,Francisco Dutari,Hamilton Pereira,Renzo Spinacci,Manuel Vicentini,Joaquín Vivani,None,None,None,None,None,Nahuel Bustos,Mauricio Caranta,Ivo Chaves,Nicolás Giménez,Fernando Godoy,Gonzalo Klusener,Carlos Quintana,None,None,None,None,None
8291064,Agustín Rossi,Fernando Tobio,Jonathan Silva,Gino Peruzzi,Wilmar Barrios,Juan Insaurralde,Fernando Gago,Pablo Pérez,Leonardo Jara,Cristian Pavón,Darío Benedetto,Luciano Pocrnjic,Néstor Moiraghi,Sebastián Domínguez,Germán Voboril,Juan Sills,Franco Escobar,Mauro Fórmica,Maxi Rodriguez,Jacobo Mansilla,Jalil Elías,Ignacio Scocco,Óscar Benítez,Walter Bou,Frank Fabra,Gonzalo Maroni,Santiago Vergini,Axel Werner,Fernando Zuqui,None,None,None,None,None,Sebastián DAngelo,Héctor Fértoli,Victor Figueroa,Eugenio Isnaldo,Nehuén Paz,Sebastián Prediger,Braian Rivero,None,None,None,None,None
8291057,Javier García,Érik Godoy,Juan Blengio,Diego Sosa,Diego Morales,Alexis Castro,Gaspar Iñíguez,Lucas Menossi,Agustín Cardozo,Carlos Luna,Lucas Janson,Luis Ardente,Juan Mattia,Matías Escudero,Maximiliano Lugo,Pablo Aguilar,Mauricio Casierra,Marcos Gelabert,Emiliano Agüero,Joaquín Molina,Emanuel Dening,Ezequiel Montagna,Sebastián Balmaceda,Diego Castaño,Mariano Echeverría,Nelson Ibáñez,Walter Mazzantti,Ramón Mierez,Bruno Urribarri,None,None,None,None,None,Facundo Barcelo,Leonardo Corti,Nicolás Maná,Nicolás Pelaitay,Arián Pucheta,Sebastián Rusculleda,Gustavo Villarruel,None,None,None,None,None
