GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8462891,argprimeradivision,2017-2018,03.10.2017,Banfield,Arsenal de Sarandí,1:2
8462892,argprimeradivision,2017-2018,03.10.2017,Newells Old Boys,Godoy Cruz,0:0
8462893,argprimeradivision,2017-2018,14.10.2017,Lanús,Unión de Santa Fe,2:1
8462894,argprimeradivision,2017-2018,14.10.2017,San Lorenzo,Defensa y Justicia,3:1
8462895,argprimeradivision,2017-2018,14.10.2017,Colón de Santa Fe,Temperley,2:0
8462896,argprimeradivision,2017-2018,14.10.2017,Rosario Central,Argentinos Juniors,1:3
8462897,argprimeradivision,2017-2018,14.10.2017,Estudiantes,Banfield,1:1
8462898,argprimeradivision,2017-2018,14.10.2017,Vélez Sarsfield,Newells Old Boys,1:0
8462899,argprimeradivision,2017-2018,15.10.2017,Racing Club,Tigre,1:0
8462900,argprimeradivision,2017-2018,15.10.2017,Chacarita Juniors,Independiente,1:2
8462901,argprimeradivision,2017-2018,15.10.2017,Godoy Cruz,Gimnasia de La Plata,3:0
8462902,argprimeradivision,2017-2018,15.10.2017,Belgrano de Córdoba,Talleres de Córdoba,0:0
8462903,argprimeradivision,2017-2018,15.10.2017,River Plate,Atlético Tucumán,2:2
8462904,argprimeradivision,2017-2018,16.10.2017,Patronato de Paraná,Boca Juniors,0:2
8462905,argprimeradivision,2017-2018,17.10.2017,Olimpo de Bahía Blanca,Huracán,0:2
8462906,argprimeradivision,2017-2018,17.10.2017,Arsenal de Sarandí,San Martín de San Juan,0:1
8467613,argprimeradivision,2017-2018,28.10.2017,Banfield,Colón de Santa Fe,1:1
8467614,argprimeradivision,2017-2018,28.10.2017,Argentinos Juniors,Arsenal de Sarandí,3:2
8467615,argprimeradivision,2017-2018,28.10.2017,Huracán,Lanús,4:0
8467616,argprimeradivision,2017-2018,28.10.2017,Unión de Santa Fe,Godoy Cruz,2:0
8467617,argprimeradivision,2017-2018,28.10.2017,San Martín de San Juan,Estudiantes,1:0
8467619,argprimeradivision,2017-2018,28.10.2017,Atlético Tucumán,Racing Club,3:1
8467624,argprimeradivision,2017-2018,29.10.2017,Talleres de Córdoba,River Plate,4:0
