GameID,Minute,PlayerIn,PlayerOut,Team
2353374,60,Egídio,Jorge Valdivia,SE Palmeiras
2353374,72,Kelvin,Gabriel,SE Palmeiras
2353374,72,Alan Patrick,Dudu,SE Palmeiras
2353374,59,Carlos,Sherman Cardenas,Atlético Mineiro
2353374,70,Dodô,Giovanni Augusto,Atlético Mineiro
2353374,79,Danilo Pires,Eduardo,Atlético Mineiro
2353382,71,Maranhão,Ananias,Chapecoense
2353382,76,Bruno Silva,Hyoran,Chapecoense
2353382,88,Maylson,Camilo,Chapecoense
2353382,45,Thiago Galhardo,Luccas Claro,Coritiba FC
2353382,78,Rodolfo,Negueba,Coritiba FC
2353382,85,Mateus Oliveira,Pedro Ken,Coritiba FC
2353375,46,Robert,Pierre,Fluminense RJ
2353375,63,Wagner,Gerson,Fluminense RJ
2353375,77,Vinicius,Giovanni,Fluminense RJ
2353375,27,Anselmo,Welinton,Joinville EC
2353375,63,llian Popp,Augusto,Joinville EC
2353375,86,Dankler,Wellington Saci,Joinville EC
2353377,72,Everton,Lincoln,Grêmio Porto Alegre
2353377,74,Matías Rodríguez,Rafael Galhardo,Grêmio Porto Alegre
2353377,75,Douglas,Giuliano,Grêmio Porto Alegre
2353377,46,Diego Ivo,Paulinho,Ponte Preta
2353377,70,Juninho,Josimar,Ponte Preta
2353377,75,Felipe Azevedo,Rildo,Ponte Preta
2353373,46,Ganso,Húdson,São Paulo FC
2353373,72,Alexandre Pato,Boschilia,São Paulo FC
2353373,78,Thiago Mendes,Luís Fabiano,São Paulo FC
2353373,72,Arthur Maia,Gabriel,Flamengo RJ
2353373,73,Lucas Mugni,Almir,Flamengo RJ
2353373,81,Eduardo,Héctor Canteros,Flamengo RJ
2353378,46,Willian Farias,Charles,Cruzeiro EC
2353378,52,Mayke,Fabiano,Cruzeiro EC
2353378,71,Judivan,Gabriel Xavier,Cruzeiro EC
2353378,46,Emerson Sheik,Danilo,Corinthians SP
2353378,63,Ángel Romero,Vágner Love,Corinthians SP
