GameID,Player1Home,Player2Home,Player3Home,Player4Home,Player5Home,Player6Home,Player7Home,Player8Home,Player9Home,Player10Home,Player11Home,Player1Away,Player2Away,Player3Away,Player4Away,Player5Away,Player6Away,Player7Away,Player8Away,Player9Away,Player10Away,Player11Away,Bench1Home,Bench2Home,Bench3Home,Bench4Home,Bench5Home,Bench6Home,Bench7Home,Bench8Home,Bench9Home,Bench10Home,Bench11Home,Bench12Home,Bench1Away,Bench2Away,Bench3Away,Bench4Away,Bench5Away,Bench6Away,Bench7Away,Bench8Away,Bench9Away,Bench10Away,Bench11Away,Bench12Away
8341365,Didier Ovono,Aaron Appindangoyé,Bruno Écuélé,Johann Obiang,Merlin Tandjigora,Lloyd Palun,Mario Lemina,Benjamin Zé Ondo,Didier Ndong,Malick Evouna,Pierre-Emerick Aubameyang,Jonas,Tomás Dábo,Rudi,Juary Soares,Zézinho,Francisco Santos,Nani,Toni Silva,Agostinho,Abel Camará,João Mário,Franck Obambou,Levy Madinda,Guélor Kanga,Samson Mbingui,Serge Angoué,Cédric Biyoghe,Anthony M’Fa,André Biyogo Poko,Serge-Junior Martinsson Ngouali,Denis Bouanga,Yohann Wachter,Yves Bitséki,Emmanuel Mendy,Saná,Eridson,Bocoundji Cá,Papa Fall,Frédéric Mendy,Sami,Piqueti,Idrissa Camará,Aldair,Mamadú Candé,Rui Dabó
8341366,Kouakou Koffi,Bakary Koné,Patrick Malo,Issoufou Dayo,Yacouba Coulibaly,Abdou Traoré,Alain Traoré,Jonathan Pitroipa,Charles Kaboré,Préjuce Nakoulma,Bertrand Traoré,Fabrice Ondoa,Ernest Mabouka,Adolphe Teikeu,Michael Ngadeu-Ngadjui,Ambroise Oyongo,Christian Bassogog,Georges Mandjeck,Sébastien Siani,Clinton NJie,Benjamin Moukandjo,Jacques Zoua,Aristide Bancé,Cyrille Bayala,Banou Diawara,Adama Guira,Souleymane Koanda,Issouf Paro,Germain Sanou,Bakary Saré,Adama Sawadogo,Blati Touré,Steeve Yago,Jonathan Zongo,Vincent Aboubakar,Georges Bokwé,Frank Boya,Mohammed Djetei,Collins Fai,Jules Goda,Nicolas NKoulou,Joseph Ngwem II,Edgar Salli,Arnaud Djoum,Robert Tambe,Karl Toko Ekambi
8341367,Didier Ovono,Aaron Appindangoyé,Bruno Écuélé,Johann Obiang,Merlin Tandjigora,Lloyd Palun,André Biyogo Poko,Denis Bouanga,Didier Ndong,Malick Evouna,Pierre-Emerick Aubameyang,Kouakou Koffi,Bakary Koné,Patrick Malo,Issoufou Dayo,Yacouba Coulibaly,Abdou Traoré,Alain Traoré,Jonathan Pitroipa,Charles Kaboré,Banou Diawara,Jonathan Zongo,Serge Angoué,Yves Bitséki,Cédric Biyoghe,Guélor Kanga,Anthony M’Fa,Levy Madinda,Serge-Junior Martinsson Ngouali,Samson Mbingui,Franck Obambou,Yohann Wachter,Benjamin Zé Ondo,None,Aristide Bancé,Cyrille Bayala,Adama Guira,Souleymane Koanda,Préjuce Nakoulma,Issouf Paro,Germain Sanou,Bakary Saré,Adama Sawadogo,Blati Touré,Bertrand Traoré,None
8341368,Fabrice Ondoa,Adolphe Teikeu,Michael Ngadeu-Ngadjui,Ambroise Oyongo,Collins Fai,Christian Bassogog,Georges Mandjeck,Sébastien Siani,Clinton NJie,Benjamin Moukandjo,Vincent Aboubakar,Jonas,Tomás Dábo,Rudi,Juary Soares,Mamadú Candé,Zézinho,Francisco Santos,Nani,Toni Silva,Frédéric Mendy,Piqueti,Georges Bokwé,Frank Boya,Mohammed Djetei,Jules Goda,Ernest Mabouka,Nicolas NKoulou,Joseph Ngwem II,Edgar Salli,Arnaud Djoum,Robert Tambe,Karl Toko Ekambi,Jacques Zoua,Abel Camará,Agostinho,Aldair,Bocoundji Cá,Idrissa Camará,Eridson,Papa Fall,João Mário,Emmanuel Mendy,Rui Dabó,Sami,Saná
8341369,Fabrice Ondoa,Nicolas NKoulou,Adolphe Teikeu,Michael Ngadeu-Ngadjui,Ambroise Oyongo,Collins Fai,Edgar Salli,Christian Bassogog,Sébastien Siani,Benjamin Moukandjo,Robert Tambe,Didier Ovono,Aaron Appindangoyé,Bruno Écuélé,Lloyd Palun,André Biyogo Poko,Serge-Junior Martinsson Ngouali,Benjamin Zé Ondo,Denis Bouanga,Didier Ndong,Malick Evouna,Pierre-Emerick Aubameyang,Vincent Aboubakar,Georges Bokwé,Frank Boya,Mohammed Djetei,Jules Goda,Ernest Mabouka,Georges Mandjeck,Clinton NJie,Joseph Ngwem II,Arnaud Djoum,Karl Toko Ekambi,Jacques Zoua,Serge Angoué,Yves Bitséki,Cédric Biyoghe,Guélor Kanga,Mario Lemina,Anthony M’Fa,Levy Madinda,Samson Mbingui,Franck Obambou,Johann Obiang,Merlin Tandjigora,Yohann Wachter
8341370,Jonas,Tomás Dábo,Rudi,Juary Soares,Mamadú Candé,Zézinho,Francisco Santos,Nani,Toni Silva,Frédéric Mendy,Piqueti,Kouakou Koffi,Steeve Yago,Bakary Koné,Issoufou Dayo,Yacouba Coulibaly,Abdou Traoré,Alain Traoré,Charles Kaboré,Préjuce Nakoulma,Aristide Bancé,Bertrand Traoré,Abel Camará,Agostinho,Aldair,Bocoundji Cá,Idrissa Camará,Eridson,Papa Fall,João Mário,Emmanuel Mendy,Rui Dabó,Sami,Saná,Cyrille Bayala,Banou Diawara,Adama Guira,Souleymane Koanda,Patrick Malo,Issouf Paro,Jonathan Pitroipa,Germain Sanou,Bakary Saré,Adama Sawadogo,Blati Touré,Jonathan Zongo
8341371,Raïs MBolhi,Aïssa Mandi,Faouzi Ghoulam,Mokhtar Belkhiter,Ramy Bensebaini,Riyad Mahrez,Nabil Bentaleb,Yacine Brahimi,Adlène Guédioura,Islam Slimani,El Arbi Soudani,Tatenda Mkuruva,Costa Nhamoinesu,Hardlife Zvirekwi,Elisha Muroiwa,Onismor Bhasera,Danny Phiri,Kudakwashe Mahachi,Willard Katsande,Khama Billiat,Nyasha Mushekwi,Knowledge Musona,Mehdi Abeid,Malik Asselah,Hicham Belkaroui,Baghdad Bounedjah,Liassine Cadamuro,Rachid Ghezzal,Sofiane Hanni,Rabie Meftah,Djamel Mesbah,Chamseddine Rahmani,Mohamed Bourdin-Benyahia,Ismaël Bennacer,Bernard Donovan,Teenage Hadebe,Tino Kadewere,Bruce Kangwa,Oscar Machapa,Cuthbert Malajila,Takabva Mawaya,Lawrence Mhlanga,Marvelous Nakamba,Tendai Ndoro,Evans Rusike,Matthew Rusike
8341372,Aymen Mathlouthi,Syam Ben Youssef,Aymen Abdennour,Ali Maâloul,Hamdi Nagguez,Youssef Msakni,Hamza Lahmar,Ferjani Sassi,Larry Azouni,Ahmed Akaïchi,Naïm Sliti,Abdoulaye Diallo,Kalidou Koulibaly,Serigne Mbodj,Cheikh MBengue,Lamine Gassama,Idrissa Gueye,Cheikhou Kouyaté,Papa NDiaye,Mame Diouf,Sadio Mané,Keita Baldé,Mohamed Ben Amor,Moez Ben Chérifia,Zied Boughattas,Chamseddine Dhaouadi,Rami Jeridi,Slimène Kchouk,Saber Khalifa,Ahmed Khalil,Wahbi Khazri,Taha Yassine Khenissi,Hamza Mathlouthi,Mohamed Ali Yaâkoubi,Saliou Ciss,Momo Diamé,Famara Diédhiou,Pape Diop,Moussa Konaté,Khadim NDiaye,Cheikh NDoye,Pape Ndiaye,Henri Saivet,Ismaïla Sarr,Moussa Sow,Zargo Touré
8341373,Malik Asselah,Aïssa Mandi,Faouzi Ghoulam,Ramy Bensebaini,Rabie Meftah,Riyad Mahrez,Nabil Bentaleb,Yacine Brahimi,Adlène Guédioura,Islam Slimani,Rachid Ghezzal,Aymen Mathlouthi,Syam Ben Youssef,Aymen Abdennour,Ali Maâloul,Hamdi Nagguez,Youssef Msakni,Ferjani Sassi,Mohamed Ben Amor,Ahmed Akaïchi,Wahbi Khazri,Naïm Sliti,Mehdi Abeid,Hicham Belkaroui,Mokhtar Belkhiter,Ismaël Bennacer,Baghdad Bounedjah,Mohamed Bourdin-Benyahia,Liassine Cadamuro,Sofiane Hanni,Raïs MBolhi,Djamel Mesbah,Chamseddine Rahmani,None,Larry Azouni,Moez Ben Chérifia,Zied Boughattas,Chamseddine Dhaouadi,Rami Jeridi,Slimène Kchouk,Saber Khalifa,Ahmed Khalil,Taha Yassine Khenissi,Hamza Lahmar,Mohamed Ali Yaâkoubi,None
8341374,Abdoulaye Diallo,Kalidou Koulibaly,Serigne Mbodj,Cheikh MBengue,Lamine Gassama,Idrissa Gueye,Cheikhou Kouyaté,Henri Saivet,Mame Diouf,Sadio Mané,Keita Baldé,Tatenda Mkuruva,Costa Nhamoinesu,Hardlife Zvirekwi,Elisha Muroiwa,Onismor Bhasera,Kudakwashe Mahachi,Willard Katsande,Marvelous Nakamba,Khama Billiat,Matthew Rusike,Nyasha Mushekwi,Saliou Ciss,Momo Diamé,Famara Diédhiou,Pape Diop,Moussa Konaté,Khadim NDiaye,Papa NDiaye,Cheikh NDoye,Pape Ndiaye,Ismaïla Sarr,Moussa Sow,Zargo Touré,Bernard Donovan,Teenage Hadebe,Tino Kadewere,Bruce Kangwa,Oscar Machapa,Cuthbert Malajila,Takabva Mawaya,Lawrence Mhlanga,Knowledge Musona,Tendai Ndoro,Danny Phiri,Evans Rusike
