Tite
904.00
2

Alisson Becker (AS Rom)
Ederson (Manchester City)
Cassio (Corinthians Sao Paulo)

Danilo (Manchester City)
Fagner (Corinthians Sao Paulo)
Miranda (Inter Mailand)
Marcos Aoás Corrêa (Paris St. Germain)
Thiago Silva (Paris St. Germain)
Geromel (Gremio Porto Alegre)
Marcelo (Real Madrid)
Filipe Luis (Atletico Madrid)

Casemiro (Real Madrid)
Fernandinho (Manchester City)
Fred (Schachtjor Donezk)
Paulinho (FC Barcelona)
Renato Augusto (Beijing Guoan)
Philippe Coutinho (FC Barcelona)
Willian (FC Chelsea)

Neymar (Paris St. Germain)
Gabriel Jesus (Manchester City)
Roberto Firmino (FC Liverpool)
Douglas Costa (Juventus Turin)
Taison (Schachtjor Donezk)
