1466028000.0,Manuel Neuer,Jonas Hector,Benedikt Höwedes,Mats Hummels,Jérôme Boateng,Sami Khedira,Mesut Özil,Julian Draxler,Toni Kroos,Thomas Müller,Mario Götze,Łukasz Fabiański,Michał Pazdan,Artur Jędrzejczyk,Kamil Glik,Łukasz Piszczek,Krzysztof Mączyński,Grzegorz Krychowiak,Kamil Grosicki,Jakub Błaszczykowski,Arkadiusz Milik,Robert Lewandowski,0
1466460000.0,Andriy Pyatov,Bogdan Butko,Evgen Khacheridi,Oleksandr Kucher,Artem Fedetskiy,Taras Stepanenko,Ruslan Rotan,Oleksandr Zinchenko,Andrey Yarmolenko,Roman Zozulya,Yevhen Konoplyanka,Łukasz Fabiański,Michał Pazdan,Artur Jędrzejczyk,Thiago Rangel Cionek,Kamil Glik,Tomasz Jodłowiec,Grzegorz Krychowiak,Piotr Zieliński,Bartosz Kapustka,Arkadiusz Milik,Robert Lewandowski,2
1466460000.0,Michael McGovern,Gareth McAuley,Jonny Evans,Aaron Hughes,Craig Cathcart,Steven Davis,Corry Evans,Stuart Dallas,Oliver Norwood,Conor Washington,Jamie Ward,Manuel Neuer,Jonas Hector,Mats Hummels,Jérôme Boateng,Sami Khedira,Mesut Özil,Toni Kroos,Joshua Kimmich,Thomas Müller,Mario Götze,Mario Gomez,2
1465682400.0,Volkan Babacan,Hakan Balta,Gökhan Gönül,Mehmet Topal,Caner Erkin,Hakan Çalhanoğlu,Selçuk İnan,Arda Turan,Oğuzhan Özyakup,Ozan Tufan,Cenk Tosun,Danijel Subašić,Ivan Strinić,Vedran Ćorluka,Darijo Srna,Domagoj Vida,Ivan Perišić,Ivan Rakitić,Luka Modrić,Marcelo Brozović,Milan Badelj,Mario Mandžukić,2
1465768800.0,De Gea,Piqué,Sergio Ramos,Juanfran,Jordi Alba,Busquets,Iniesta,Cesc Fàbregas,David Silva,Morata,Nolito,Petr Čech,Pavel Kadeřábek,Theodor Gebre Selassie,Roman Hubník,Tomáš Sivok,David Limberský,Tomáš Rosický,Jaroslav Plašil,Ladislav Krejčí,Vladimír Darida,Tomáš Necid,1
1466114400.0,De Gea,Piqué,Sergio Ramos,Juanfran,Jordi Alba,Busquets,Iniesta,Cesc Fàbregas,David Silva,Morata,Nolito,Volkan Babacan,Hakan Balta,Gökhan Gönül,Mehmet Topal,Caner Erkin,Hakan Çalhanoğlu,Selçuk İnan,Arda Turan,Oğuzhan Özyakup,Ozan Tufan,Burak Yılmaz,1
1466114400.0,Petr Čech,Pavel Kadeřábek,Roman Hubník,Tomáš Sivok,David Limberský,Tomáš Rosický,Jaroslav Plašil,Ladislav Krejčí,Jiří Skalák,Vladimír Darida,David Lafata,Danijel Subašić,Ivan Strinić,Vedran Ćorluka,Darijo Srna,Domagoj Vida,Ivan Perišić,Ivan Rakitić,Luka Modrić,Marcelo Brozović,Milan Badelj,Mario Mandžukić,0
1466460000.0,Danijel Subašić,Šime Vrsaljko,Vedran Ćorluka,Tin Jedvaj,Darijo Srna,Ivan Perišić,Ivan Rakitić,Marko Rog,Milan Badelj,Nikola Kalinić,Marko Pjaca,De Gea,Piqué,Sergio Ramos,Juanfran,Jordi Alba,Busquets,Iniesta,Cesc Fàbregas,David Silva,Morata,Nolito,1
1465768800.0,Thibaut Courtois,Toby Alderweireld,Thomas Vermaelen,Jan Vertonghen,Laurent Ciman,Radja Nainggolan,Axel Witsel,Kevin De Bruyne,Marouane Fellaini,Romelu Lukaku,Eden Hazard,Gianluigi Buffon,Giorgio Chiellini,Matteo Darmian,Andrea Barzagli,Leonardo Bonucci,Antonio Candreva,Daniele De Rossi,Marco Parolo,Emanuele Giaccherini,Graziano Pellè,Éder,2
1465768800.0,Darren Randolph,Séamus Coleman,Ciaran Clark,John OShea,Robbie Brady,Glenn Whelan,James McCarthy,Jeff Hendrick,Wes Hoolahan,Shane Long,Jon Walters,Andreas Isaksson,Mikael Lustig,Andreas Granqvist,Martin Olsson,Victor Lindelöf,Emil Forsberg,Sebastian Larsson,Kim Källström,Oscar Lewicki,Zlatan Ibrahimović,Marcus Berg,0
