1400277600.0,14504,8353,420,17128,4892,10648,15747,8844,22338,12881,14445,15674,6221,5740,14681,17890,1284,1453,19669,582,2142,5762,880,26,2
1379973600.0,20602,4792,14717,4739,8430,15264,1280,9871,8878,14526,16833,12004,13069,2183,14156,15679,8977,7675,8243,18784,9096,1459,459,217,2
1386111600.0,10006,7463,10223,13762,17979,9400,5310,10226,9068,16896,21032,7845,4287,19011,19565,4147,1233,14485,8729,4836,19490,15057,665,879,1
1392073200.0,10006,14504,2172,4575,10223,4892,9814,15747,5310,22338,5897,14585,8164,14445,21032,14681,4287,1284,19490,19669,7113,14875,26,879,2
1397599200.0,9469,20194,17128,1971,12881,7840,15674,12080,16932,17832,14938,687,18500,22624,1453,9815,18519,8204,582,22034,5762,39,791,880,1
1375567200.0,21648,14455,9826,8098,2031,19625,18096,5096,12460,11376,16233,9858,19974,17586,3388,6755,14011,14262,4533,8613,15272,5129,163,586,2
1375567200.0,18324,10726,7897,18464,22429,18106,19359,13737,15317,22457,12578,15325,15094,13916,438,11461,14441,6450,2144,3788,13174,4366,966,121,2
1375480800.0,11208,9453,6841,16239,4044,19354,16855,590,17302,5289,17895,19224,8387,8669,18345,20538,19637,20001,10376,19984,5938,12404,862,54,2
1375567200.0,21757,9335,12481,12915,16627,18779,7507,16068,18782,2520,3179,18993,16519,22365,18614,3197,20037,18631,11836,4040,9691,16881,205,83,1
1375480800.0,22603,18871,15498,10396,5738,14215,21253,13300,6356,19615,18758,16521,10410,22273,19847,18171,16837,5755,9174,22431,17365,17527,468,550,2
1375567200.0,19598,4308,9718,5656,4703,19474,19765,8515,12297,5002,2296,7622,2419,10906,13161,3925,22644,8958,9729,21560,9202,685,687,684,1
1375567200.0,21434,3140,16252,2172,11432,10223,2022,17979,11917,5310,163,20623,1457,21032,13710,4287,16017,1233,10952,8729,21441,7113,879,656,2
1375480800.0,5999,5010,20693,19,9488,753,16433,16717,6521,22005,4586,7390,5631,17793,13038,16628,16019,13373,7865,13753,10886,6536,142,89,2
1375567200.0,20792,4412,6553,11302,4199,18679,10271,740,5380,2669,2622,21614,16785,12179,15654,15163,13746,13611,11768,9750,22390,13415,691,494,2
1375480800.0,12275,7420,11895,17632,3625,7840,15717,17832,18174,687,18505,8204,9929,2707,2205,13081,4420,39,601,16588,2008,6142,791,86,2
1375567200.0,14229,17487,2647,8982,11885,624,16607,2263,14718,18726,8497,10889,767,5617,18133,4807,18936,9862,21332,8043,12309,20552,395,845,1
1375480800.0,16575,18252,880,21286,14995,15551,13827,3378,9124,14598,9967,9738,12234,6355,12821,4586,7251,9527,17776,1323,15344,1431,504,639,2
1375653600.0,11359,2568,13635,1474,14023,7157,13961,564,12893,10251,19276,11051,1975,11465,14283,19624,15677,1957,7469,19816,19330,5169,760,59,2
1375480800.0,19104,15820,20286,6665,8778,18165,8704,8861,2850,15329,8403,9313,17292,5168,19124,5128,1123,4293,1423,19713,12441,1760,595,824,2
1375480800.0,9664,19783,18862,8345,12930,16245,13890,10459,10782,18928,1667,8299,2085,6189,17989,9933,10427,21610,5293,2946,7280,7028,36,895,2
1375653600.0,12897,8353,21973,17128,13444,19139,3556,8844,12011,16932,19971,20587,16426,18500,21145,1453,7206,18519,8221,582,16915,5762,880,941,2
1375480800.0,15316,21117,18516,10862,135,13926,5455,508,11892,11667,10776,11496,19477,21963,22375,10032,22064,7350,13364,10785,17261,3262,74,321,2
1375567200.0,20602,18521,14717,4426,7627,20488,11279,9084,16833,14528,13069,2995,14156,9514,8977,791,8243,14436,3774,16484,9096,3414,70,217,1
1375567200.0,4310,13475,8700,4991,11370,4391,19015,3333,16282,14696,17571,13900,17066,14516,19365,12986,19141,11848,3569,22274,17703,7817,428,42,1
1375480800.0,22636,20783,7587,179,14506,19356,2484,17055,12448,10872,21952,1616,13301,11448,22,20844,4597,18781,9225,21597,6430,1223,670,636,2
1375480800.0,8462,1210,10914,10321,15390,6300,6308,9493,20226,7928,7234,19732,10893,10022,7472,5667,16852,3994,18140,21301,3018,8461,255,396,2
1375394400.0,20238,21561,18229,20088,5239,19384,15388,21895,14786,22144,4772,6484,17934,9157,17892,18347,3181,9341,15006,16062,20553,5315,622,10,1
1375567200.0,7132,1396,19934,21340,4149,12388,6132,7857,10962,5939,585,6801,17144,7602,22366,16655,12308,10204,6406,20569,11929,9831,528,581,2
1375653600.0,19757,682,22177,6861,700,21303,5265,5347,6469,1982,22148,7844,18933,20866,10338,13392,22105,16895,5172,5043,20421,19499,88,12,2
1375567200.0,7463,7687,13762,9779,9400,22593,20373,712,10226,8340,7845,10501,4147,12782,22361,10568,1575,21739,1534,1325,8368,3973,910,665,1
1375480800.0,18935,18459,10757,2389,8391,420,8291,22338,3674,14585,22266,984,13158,14681,14163,1284,13697,19669,5023,2142,19401,14875,26,472,2
1375567200.0,16794,3151,4192,14750,529,9562,21393,7442,3122,8474,13627,3209,11612,5421,17796,16660,5386,1800,3781,7532,19626,11293,423,535,2
1375394400.0,12003,17870,22063,11035,6301,12102,5475,586,19829,805,21947,962,19621,8866,2066,22432,7085,13882,10150,2994,20187,3971,561,110,2
1375653600.0,3350,21572,12966,13149,11900,1742,15041,13124,7548,6387,19828,9983,11731,2169,16099,2784,15911,17480,8653,17274,16184,22399,851,369,2
1375394400.0,21622,19183,9644,4739,20578,15264,20603,14526,9539,9927,11570,17339,168,2183,10019,14418,5652,7675,16601,18784,11458,1459,459,97,2
1375480800.0,21503,19030,7062,13982,14721,8752,1031,20217,6507,22471,15216,11914,5539,15705,7969,11165,1568,16536,9604,12332,6629,6351,903,381,2
1375567200.0,19978,12223,16723,12603,271,18190,97,11283,10735,14021,4061,13285,353,9238,10273,8328,495,12164,19245,19684,14170,18043,809,585,2
1375740000.0,13011,14827,5027,8390,4796,9902,18830,2977,7263,3494,11877,8518,15069,8365,16142,18042,7000,12597,16909,8800,13854,10784,835,510,1
1375740000.0,15208,5314,16186,6083,17165,3456,11979,2506,22436,15900,11057,8922,21755,16512,6384,2319,9175,10875,20616,4091,3816,20426,484,370,2
1375740000.0,21689,3225,14380,2170,1475,19184,6411,12771,1557,6757,4049,17357,17216,20934,21820,18976,715,9011,14888,1940,11025,14572,742,497,1
1375653600.0,14527,2086,3318,11949,7698,10220,18708,9317,21505,8179,2701,17716,5686,9631,11215,21422,18996,8996,13098,11636,7309,5415,196,394,1
1375740000.0,21668,12914,5678,10244,12525,563,6867,22696,16028,20658,20207,15158,15814,11630,2338,17403,2487,12283,9412,15846,8022,18402,744,276,1
1375740000.0,14401,7077,2841,900,6003,11581,17845,4615,22583,19724,13768,2694,11672,1692,1754,7151,2310,8605,10714,13908,14471,22404,223,475,1
1375740000.0,16040,21686,4430,9672,15276,10363,13505,1200,1048,22620,16747,18810,20014,15607,2343,6019,296,6453,10487,21459,18683,6165,242,891,2
1375826400.0,7556,12716,19628,20945,12816,9881,13466,20547,1867,7029,13401,18443,22309,16486,20386,13997,16786,15981,14731,7743,9828,13646,61,925,1
1375740000.0,8026,12143,16859,5247,17097,20320,15059,13841,1237,6115,814,1673,4253,17500,4121,14194,9073,9935,20085,6685,12409,20348,909,115,2
